"","did household work","did household work","average length of time spent on household work","average length of time spent on household work"
"","fathers","mothers","fathers","mothers"
"","percentage","percentage","minutes","minutes"
"number of hours worked during the reference day","","","",""
"no hours","87","95","225","231"
"less than 8 hours","75","95","101","139"
"8 or more hours","65","86","77","99"
"age of youngest child","","","",""
"0 to 4 years","73","92","129","177"
"5 to 12 years","75","93","154","178"
"13 years or older","81","95","156","193"
"place of birth","","","",""
"canada","77","94","152","174"
"rest of the world","73","94","136","199"
"region of birth","","","",""
"atlantic provinces","76","92","136","148"
"quebec","79","94","160","162"
"ontario","77","92","159","183"
"prairies","77","96","138","184"
"british columbia","78","95","134","175"
"place of residence","","","",""
"atlantic provinces","72","91","137","164"
"quebec","79","94","153","159"
"ontario","76","94","144","191"
"prairies","71","92","143","195"
"british columbia","79","95","139","177"
"educational attainment","","","",""
"high school diploma or less","71","96","133","198"
"postsecondary diploma or certificate","81","93","156","187"
"university diploma","73","92","144","169"
"work schedule","","","",""
"employee, normal schedule","78","92","145","165"
"employee, non-traditional schedule","73","94","162","167"
"self-employed or unpaid family worker","70","95","120","174"
"distance between the home and workplace","","","",""
"less than 10 km","76","93","157","170"
"10 to 24 km","78","95","135","153"
"25 km or more","79","91","151","181"
