"characteristic","sample","population estimates","population estimates"
"characteristic","number","number","%"
"total","26,429","5,595.1","100.0"
"sex","","",""
"men","10,165","2,427.7","43.4"
"women","16,264","3,167.4","56.6"
"age group","","",""
"18 to 34","3,277","973.8","17.4"
"35 to 49","4,792","1,441.9","25.8"
"50 to 64","9,493","1,895.4","33.9"
"65 or older","8,867","1,283.9","22.9"
"education","","",""
"postsecondary graduation","16,365","3,793.3","73.4"
"less than postsecondary graduation","8,355","1,375.0","26.6"
"marital status","","",""
"married/common-law","14,138","3,512.5","62.9"
"no partner","12,233","2,073.9","37.1"
"household income quintile","","",""
"lowest","6,432","1,378.2","24.7"
"low-middle","5,773","1,213.9","21.7"
"middle","5,342","1,097.5","19.7"
"high-middle","4,223","977.4","17.5"
"highest","4,144","914.9","16.4"
"race/cultural identity","","",""
"white","22,709","4,420.6","84.6"
"black","227","112.9","2.2"
"other","1,359","691.2","13.2"
"pain intensity","","",""
"mild","7,792","1,851.5","33.2"
"moderate","14,024","2,864.1","51.4"
"severe","4,417","855.8","15.4"
"number of activites prevented by pain","","",""
"none","7,406","1,654.1","29.7"
"a few","7,354","1,661.6","29.8"
"some","6,222","1,275.6","22.9"
"most","5,290","980.1","17.6"
"flourishing mental health","18,074","3,832.7","68.5"
"chronic physical conditions","","",""
"none","3,404","954.8","17.3"
"one","5,890","1,487.8","26.9"
"two","6,091","1,278.1","23.1"
"three or more","10,700","1,812.2","32.8"
