"year","team","games","games","tackles","tackles","tackles","tackles","fumbles","fumbles","fumbles","interceptions","interceptions","interceptions","interceptions","interceptions","interceptions"
"year","team","g","gs","comb","total","ast","sack","ff","fr","yds","int","yds","avg","lng","td","pd"
"2007","sd","15","0","53","42","11","1.0","0","0","0","1","0","0.0","0","0","6"
"2008","sd","16","16","127","105","22","1.0","0","1","0","1","3","3.0","3","0","5"
"2009","sd","13","13","82","68","14","1.5","0","0","0","2","44","22.0","31","1","7"
"2010","sd","16","16","96","80","16","0.5","0","0","0","2","64","32.0","41","1","10"
"2011","sd","16","16","88","70","18","0.0","0","0","0","7","89","12.7","26","0","11"
"2012","sd","16","16","97","83","14","1.0","2","0","0","3","52","17.3","23","1","9"
"2013","sd","16","16","115","88","27","1.0","1","2","27","2","21","10.5","21","0","10"
"2014","sd","16","16","114","91","23","0.0","2","0","0","1","17","17.0","17","0","8"
"2015","sd","13","13","78","55","23","0.5","0","0","0","0","0","0.0","0","0","6"
"2016","bal","16","16","89","48","41","1.0","1","0","0","4","92","23.0","53","0","13"
"2017","bal","16","16","63","49","14","1.0","2","1","0","6","85","14.2","45","1","7"
"2018","bal","16","16","68","54","14","1.0","0","0","0","0","0","0.0","0","0","3"
"career","career","185","170","1,067","830","237","9.5","8","4","27","29","467","13.8","53","4","94"
