"characteristic","%","95% confidence interval","95% confidence interval"
"characteristic","%","from","to"
"total","76.6","76.0","77.1"
"chronic pain","","",""
"yes","68.5","67.4","69.6"
"no","78.8","78.2","79.4"
"socio-demographic characteristics","","",""
"sex","","",""
"men","76.5","75.8","77.2"
"women","76.6","75.9","77.3"
"age group","","",""
"18 to 34","75.7","74.7","76.7"
"35 to 49","76.3","75.3","77.3"
"50 to 64","77.1","76.2","78.0"
"65 or older","77.5","76.6","78.3"
"education","","",""
"postsecondary graduation","78.2","77.7","78.8"
"less than postsecondary graduation","69.1","67.8","70.4"
"marital status","","",""
"married/common-law","79.4","78.8","80.0"
"no partner","78.4","77.4","79.4"
"household income quintile","","",""
"lowest","69.1","67.8","70.4"
"low-middle","75.2","74.0","76.3"
"middle","77.2","76.1","78.2"
"high-middle","78.4","77.4","79.4"
"highest","82.1","81.1","83.1"
"race/cultural identity","","",""
"white","77.3","76.7","77.8"
"black","78.6","74.3","82.3"
"other","74.9","73.2","76.5"
"health characteristics","","",""
"positive health behaviours","","",""
"none","67.1","65.3","68.9"
"one","73.2","72.2","74.2"
"two","78.6","77.9","79.3"
"three","81.5","80.5","82.5"
"chronic physical conditions","","",""
"none","79.3","78.5","80.0"
"one","76.7","75.8","77.6"
"two","74.2","73.0","75.5"
"three or more","70.0","68.8","71.1"
