"team","year","regular season","regular season","regular season","regular season","regular season","regular season","regular season","postseason","postseason","postseason","postseason"
"team","year","g","w","l","t","otl","pts","finish","w","l","win%","result"
"que","1994-95","48","30","13","5","-","65","1st in northeast","2","4",".333","lost in conference quarterfinals"
"col","1995-96","82","47","25","10","-","104","1st in pacific","16","6",".615","won stanley cup"
"col","1996-97","82","49","24","9","-","107","1st in pacific","10","7",".588","lost in conference finals"
"col","1997-98","82","39","26","17","-","95","1st in pacific","3","4",".429","lost in conference quarterfinals"
"que/col total","que/col total","294","165","88","41","-","371","none","31","21",".596","4 playoff appearances 1 stanley cup"
"van","1998-99","37","8","23","6","-","(22)","4th in northwest","-","-","-","missed playoffs"
"van","1999-2000","82","30","29","15","8","83","4th in northwest","-","-","-","missed playoffs"
"van","2000-01","82","36","28","11","7","90","4th in northwest","0","4",".000","lost in conference quarterfinals"
"van","2001-02","82","42","30","7","3","94","2nd in northwest","2","4",".333","lost in conference quarterfinals"
"van","2002-03","82","45","23","13","1","104","2nd in northwest","7","7",".500","lost in conference semifinals"
"van","2003-04","82","43","24","10","5","101","1st in northwest","3","4",".429","lost in conference quarterfinals"
"van","2005-06","82","42","32","-","8","92","4th in northwest","-","-","-","missed playoffs"
"van total","van total","529","246","189","62","32","583","none","12","19",".387","4 playoff appearances"
"lak","2006-07","82","27","41","-","14","68","4th in pacific","-","-","-","missed playoffs"
"lak","2007-08","82","32","43","-","7","71","5th in pacific","-","-","-","missed playoffs"
"lak total","lak total","164","59","84","-","21","139","none","-","-","-","-"
"dal","2009-10","82","37","31","-","14","88","5th in pacific","-","-","-","missed playoffs"
"dal","2010-11","82","42","29","-","11","95","5th in pacific","-","-","-","missed playoffs"
"dal total","dal total","164","79","60","-","25","183","none","-","-","-","-"
"ott","2018-19","18","7","10","-","1","(15)","5th in pacific","-","-","-","missed playoffs"
"ott total","ott total","18","7","10","-","1","15","none","-","-","-","-"
"total","total","1,169","556","431","103","79","1,294","none","43","40",".518","8 playoff appearances"
