"province or territory","firearm-related","firearm-related","firearm-related","firearm-related","firearm-related","firearm-related","firearm-related","firearm-related"
"province or territory","2017","2017","2017","2017","2016r","2016r","2016r","2016r"
"province or territory","number","percent","rate","number of total homicides","number","percent","rate","number of total homicides"
"newfoundland and labrador","0","0.0","0.00","4","0","0.0","0.00","7"
"prince edward island","..","..","..","0","..","..","..","0"
"nova scotia","8","40.0","0.84","21","9","75.0","0.95","13"
"new brunswick","5","55.6","0.66","10","3","30.0","0.40","11"
"quebec","35","39.3","0.42","93","27","40.9","0.32","67"
"ontario","84","44.0","0.59","196","82","42.5","0.59","206"
"manitoba","13","28.3","0.97","47","5","12.2","0.38","42"
"saskatchewan","10","27.0","0.86","37","17","33.3","1.48","54"
"alberta","51","45.1","1.19","118","44","37.9","1.04","116"
"british columbia","57","53.3","1.18","118","35","43.2","0.74","88"
"yukon","2","33.3","5.20","8","1","25.0","2.63","4"
"northwest territories","0","0.0","0.00","2","0","0.0","0.00","3"
"nunavut","1","20.0","2.63","6","0","0.0","0.00","1"
"canada","266","42.4","0.72","660","223","38.1","0.61","612"
