"club","season","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"mansfield town","1999-2000","4","0","0","0","0","0","0","0","4","0"
"mansfield town","2000-01","14","0","2","0","3","0","1","0","20","0"
"mansfield town","2001-02","46","3","3","0","1","0","1","0","51","3"
"mansfield town","2002-03","40","0","1","0","1","0","1","0","43","0"
"mansfield town","2003-04","35","0","3","0","1","0","4","0","43","0"
"mansfield town","2004-05","4","0","0","0","0","0","0","0","4","0"
"mansfield town","total","143","3","9","0","6","0","7","0","165","3"
"northampton town","2004-05","38","0","2","1","1","0","2","1","43","2"
"northampton town","total","38","0","2","1","1","0","2","1","43","2"
"rotherham united","2005-06","37","4","1","0","2","0","0","0","40","4"
"rotherham united","2006-07","19","5","1","0","1","1","1","0","22","6"
"rotherham united","total","56","9","2","0","3","1","1","0","62","10"
"watford","2006-07","5","0","0","0","0","0","0","0","5","0"
"watford","2007-08","32","2","1","0","0","0","2","0","35","2"
"watford","2008-09","34","2","1","0","3","1","0","0","38","3"
"watford","total","71","4","2","0","3","1","2","0","78","5"
"preston north end","2008-09","5","1","0","0","0","0","0","0","5","1"
"preston north end","total","5","1","0","0","0","0","0","0","5","1"
"sheffield united","2009-10","20","3","3","1","0","0","0","0","23","4"
"sheffield united","2010-11","16","3","1","0","0","0","0","0","17","3"
"sheffield united","2011-12","40","13","4","0","2","0","3","0","49","13"
"sheffield united","total","76","19","8","1","2","0","3","0","89","20"
"portsmouth","2012-13","22","0","0","0","0","0","2","0","24","0"
"portsmouth","total","22","0","0","0","0","0","2","0","24","0"
"blackburn rovers","2012-13","8","0","1","0","0","0","0","0","9","0"
"blackburn rovers","2013-14","30","0","2","0","0","0","0","0","32","0"
"blackburn rovers","2014-15","34","0","0","0","0","0","0","0","34","0"
"blackburn rovers","2015-16","10","0","0","0","1","0","0","0","11","0"
"total","total","82","0","3","0","1","0","0","0","86","0"
"career total","career total","493","36","26","2","16","2","17","1","552","41"
