"intangible assets","agriculture, forestry, fishing and hunting","mining and oil and gas extraction","utilities","construction","manufacturing","wholesale trade","retail trade"
"intangible assets","percent","percent","percent","percent","percent","percent","percent"
"research and development services","0.0","0.1","0.0","0.0","0.8","0.4","0.0"
"own-account research and development services","0.1","0.3","0.2","0.2","4.5","1.1","0.1"
"general purpose software","0.0","0.0","0.1","0.1","0.1","0.3","0.2"
"custom software design and development services","0.0","0.0","0.2","0.1","0.6","1.6","0.8"
"own-account software design and development services","0.0","0.0","0.1","0.1","0.4","0.7","0.4"
"mineral and oil and gas exploration","0.0","12.3","0.0","0.0","0.0","0.0","0.0"
"development costs in financial industry","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"new architecture and engineering design","0.1","0.4","0.1","41.9","3.6","0.4","0.0"
"own-account other science and engineering services","0.1","0.3","0.2","0.9","0.3","0.3","0.1"
"purchased other science and engineering services","0.0","0.1","0.0","0.3","0.1","0.4","0.3"
"advertising","0.0","0.0","0.0","0.3","1.0","2.3","2.0"
"firm-specific human capital","0.0","0.1","0.2","1.1","1.0","1.3","1.1"
"purchased organizational capital","0.0","0.2","0.1","1.1","0.4","1.7","1.7"
"own-account organizational capital","0.2","0.4","0.2","6.2","2.9","6.6","6.8"
