"rank","institution","2014","2015","2016","% change 2015-16"
"","all institutions","67197","68567","71833","4.8"
"","leading 30 institutions","27589","28343","30157","6.4"
"1","johns hopkins u.a","2242","2306","2431","5.4"
"2","u. michigan, ann arbor","1349","1369","1436","4.9"
"3","u. pennsylvania","828","864","1296","50"
"4","u. california, san francisco","1084","1127","1294","14.8"
"5","u. washington, seattle","1176","1181","1278","8.2"
"6","u. wisconsin-madison","1109","1069","1158","8.3"
"7","u. california, san diego","1067","1101","1087","-1.3"
"8","harvard u","934","1014","1077","6.2"
"9","stanford u","959","1023","1066","4.2"
"10","duke u","1037","1037","1056","1.8"
"11","u. north carolina, chapel hill","990","967","1045","8.1"
"12","u. california, los angeles","948","1021","1038","1.7"
"13","cornell u","883","954","974","2.1"
"14","massachusetts institute of technology","908","931","946","1.6"
"15","u. minnesota, twin cities","877","881","910","3.3"
"16","texas a&m u., college station and health science center","854","867","893","3"
"17","u. pittsburgh, pittsburgh","857","861","890","3.4"
"18","yale u","773","803","882","9.8"
"19","u. texas m. d. anderson cancer center","795","833","852","2.3"
"20","columbia u. in the city of new york","891","868","837","-3.6"
"21","pennsylvania state u., university park and hershey medical center","801","791","826","4.4"
"22","ohio state u","815","818","818","0"
"23","new york u","524","602","810","34.6"
"24","u. florida","709","740","791","6.9"
"25","georgia institute of technology","726","765","791","3.4"
"26","u. california, berkeley","744","789","774","-1.9"
"27","u. california, davis","712","721","742","2.9"
"28","washington u., saint louis","665","694","741","6.8"
"29","northwestern u","645","656","713","8.7"
"30","u. southern california","687","691","703","1.7"
