"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","single","uk","us mod. rock","canada rpm alt 30","ire","nz","australia","album"
"1979","the pictures on my wall","-","-","-","-","-","-","crocodiles"
"1980","rescue","62","-","-","-","-","-","crocodiles"
"1980","the puppet","-","-","-","-","-","-","non-album single"
"1981","a promise","49","-","-","-","-","-","heaven up here"
"1981","over the wall","-","-","-","-","-","-","heaven up here"
"1982","the back of love","19","-","-","24","-","-","porcupine"
"1983","the cutter","8","-","-","10","30","67","porcupine"
"1983","never stop","15","-","-","8","49","-","non-album single"
"1984","the killing moon","9","-","-","7","12","96","ocean rain"
"1984","silver","30","-","-","14","-","-","ocean rain"
"1984","seven seas","16","-","-","10","-","-","ocean rain"
"1985","bring on the dancing horses","21","-","-","15","31","78","songs to learn & sing"
"1987","the game","28","-","-","-","-","-","echo & the bunnymen"
"1987","lips like sugar","36","-","-","24","43","-","echo & the bunnymen"
"1987","bedbugs and ballyhoo","-","-","-","-","-","-","echo & the bunnymen"
"1987","people are strange","29","-","-","13","-","-","the lost boys soundtrack"
"1990","enlighten me","96","8","-","-","-","-","reverberation"
"1991","prove me wrong","-","-","-","-","-","-","non-album single"
"1992","inside me, inside you","-","-","-","-","-","-","non-album single"
"1997","nothing lasts forever","8","-","-","-","-","-","evergreen"
"1997","i want to be there","30","26","16","-","-","-","evergreen"
"1997","don't let it get you down","50","-","-","-","-","-","evergreen"
"1999","rust","22","-","-","-","-","-","what are you going to do with your life?"
"1999","get in the car","-","-","-","-","-","-","what are you going to do with your life?"
"2001","it's alright","41","-","-","-","-","-","flowers"
"2001","make me shine","84","-","-","-","-","-","flowers"
"2005","stormy weather","55","-","-","-","-","-","siberia"
"2005","in the margins","-","-","-","-","-","-","siberia"
"2006","scissors in the sand","-","-","-","-","-","-","siberia"
"2009","think i need it too","-","-","-","-","-","-","the fountain"
"2014","lovers on the run","-","-","-","-","-","-","meteorites"
"2018","seven seas","-","-","-","-","-","-","the stars, the ocean & the moon"
