"","group 1","group 2","group 3"
"","students aged 15 to 24 and non-students aged 15 to 24 living with their parents","persons aged 15 to 64 who are unattached, lone parents or spouses/partners in single-earner couples","persons aged 15 to 64 who are spouses/partners in dual-earner couples"
"","number","number","number"
"number of minimum wage workers","520,200","259,400","274,800"
"percentage of all minimum wage workers","33.2","16.6","18.2"
"work patterns","","",""
"average weekly work hours in their main job","17.8","31.7","32.4"
"percentage working full time","17.5","65.7","68.8"
"percentage working in temporary jobs","32.9","13.9","14.2"
"percentage working in retail trade, food and accommodation services","72.4","49.9","42.9"
"percentage holding multiple jobs","4.9","6.5","6.0"
"weekly wages of minimum wage workers","","",""
"average","218","380","385"
"median","180","404","404"
"25th percentile","120","260","277"
"75th percentile","280","494","500"
"weekly wages of all employees in the economic family","","",""
"average","1,788","454","1,435"
"median","1,703","422","1,323"
"25th percentile","919","280","1,010"
"75th percentile","2,505","520","1,750"
"family size","","",""
"average","3.8","2.0","3.3"
"median","4.0","1.0","3.0"
"weekly wages of all employees in the economic family","","",""
"average","909","347","817"
"median","867","323","756"
"25th percentile","500","210","553"
"75th percentile","1,254","455","1,014"
"other characteristics","","",""
"percentage living in rented dwellings","27.7","62.1","38.2"
"percentage with at most a high school diploma","62.2","44.4","35.6"
"percentage with at least a bachelor's degree","3.0","18.7","26.0"
"percentage of women","54.1","60.4","65.8"
"percentage of immigrants","17.9","35.2","48.0"
"average age","19.1","40.6","42.4"
"percentage aged 35 to 64","0.0","60.3","72.1"
