"province or territory","shootings","shootings","shootings","shootings","shootings","shootings","shootings","shootings","shootings"
"province or territory","2015","2015","2015","2014r","2014r","2014r","average 2005 to 2014","average 2005 to 2014","average 2005 to 2014"
"province or territory","number of victims","rate","percent of total homicides","number of victims","rate","percent of total homicides","average number","rate","percent of total homicides"
"newfoundland and labrador","1","0.19","33.3","1","0.19","50.0","2","0.39","43.5"
"prince edward island","0","0.00","0.0","2","1.37","66.7","0","0.14","25.0"
"nova scotia","3","0.32","25.0","2","0.21","33.3","5","0.56","34.0"
"new brunswick","3","0.40","27.3","4","0.53","40.0","2","0.31","28.8"
"quebec","27","0.33","36.0","28","0.34","40.0","30","0.38","33.4"
"ontario","49","0.36","28.2","46","0.34","30.3","60","0.46","33.6"
"manitoba","7","0.54","15.6","4","0.31","9.1","9","0.76","18.6"
"saskatchewan","11","0.97","25.6","4","0.36","16.7","6","0.55","17.6"
"alberta","49","1.17","39.2","36","0.87","36.0","29","0.78","31.0"
"british columbia","26","0.56","29.9","27","0.58","31.4","33","0.75","37.1"
"yukon","1","2.67","100.0","0","0.00","0.0","0","0.29","9.1"
"northwest territories","1","2.27","20.0","0","0.00","0.0","0","0.69","15.0"
"nunavut","0","0.00","0.0","1","2.77","25.0","2","4.84","34.0"
"canada","178","0.50","30.5","155","0.44","30.6","178","0.53","31.3"
