"team","from","to","record","record","record","record","record"
"team","from","to","g","w","d","l","win %"
"roda jc","1996","1998","57","29","7","21","50.88"
"rkc waalwijk","1998","2004","209","79","44","86","37.80"
"tottenham hotspur","5 november 2004","25 october 2007","148","67","38","43","45.27"
"hamburger sv","1 july 2008","30 june 2009","53","32","7","14","60.38"
"ajax","1 july 2009","6 december 2010","77","50","16","11","64.94"
"fulham","7 june 2011","1 december 2013","113","38","28","47","33.63"
"al ahly sc","24 february 2016","19 august 2016","31","20","6","5","64.52"
"total","total","total","688","315","146","227","45.78"
