"club","season","division","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"espanyol b","2002-03","segunda division b group iii","0","0","0","0","0","0","0","0","0","0"
"marco","2002-03","segunda liga","13","1","0","0","0","0","0","0","13","1"
"pacos de ferreira","2003-04","primeira liga","2","0","0","0","0","0","0","0","2","0"
"aves","2003-04","segunda liga","14","0","0","0","0","0","0","0","14","0"
"uniao de leiria","2004-05","primeira liga","0","0","0","0","0","0","0","0","0","0"
"shinnik yaroslavl","2005","russian premier league","11","1","0","0","0","0","0","0","11","1"
"lokomotiv moscow","2005","russian premier league","9","0","1","0","0","0","10","0","18","0"
"lokomotiv moscow","2006","russian premier league","5","0","1","0","0","0","0","0","8","0"
"lokomotiv moscow","total","total","14","0","2","0","0","0","10","0","26","0"
"reading","2006-07","premier league","15","0","4","0","2","1","0","0","21","1"
"reading","2007-08","premier league","22","3","1","0","1","0","0","0","24","3"
"reading","2008-09","championship","25","3","1","0","1","0","1","0","28","3"
"reading","total","total","62","6","6","0","4","1","1","0","73","7"
"burnley","2009-10","premier league","28","1","1","0","2","0","0","0","31","1"
"burnley","2010-11","championship","28","2","1","0","1","0","0","0","30","2"
"burnley","2011-12","championship","14","0","1","0","2","1","0","0","17","1"
"burnley","total","total","70","3","3","0","5","1","0","0","78","4"
"bristol city","2011-12","championship","7","0","0","0","0","0","0","0","7","0"
"middlesbrough","2012-13","championship","33","1","2","0","2","0","0","0","37","1"
"panetolikos","2013-14","superleague greece","23","2","3","0","0","0","0","0","26","2"
"charlton athletic","2014-15","championship","31","1","1","0","2","0","0","0","34","1"
"charlton athletic","2015-16","championship","0","0","0","0","0","0","0","0","0","0"
"charlton athletic","total","total","31","1","1","0","2","0","10","0","34","1"
"northeast united","2015","indian super league","9","1","0","0","0","0","0","0","9","1"
"pune city","2016","indian super league","0","0","0","0","0","0","0","0","0","0"
"port vale","2016-17","efl league one","7","0","0","0","0","0","0","0","7","0"
"jamshedpur","2017-18","indian super league","15","0","0","0","0","0","0","0","15","0"
"atk","2018-19","indian super league","0","0","0","0","0","0","0","0","0","0"
"career totals","career totals","career totals","308","16","17","0","13","2","11","0","349","18"
