"","women","women","women","women","women","men","men","men","men","men"
"","risk ratio","95% confidence interval","95% confidence interval","p-value","paf, %","risk ratio","95% confidence interval","95% confidence interval","p-value","paf, %"
"","risk ratio","from","to","p-value","paf, %","risk ratio","from","to","p-value","paf, %"
"sociodemographic characteristics","","","","","","","","","",""
"20 to 39 years","0.10","0.07","0.16","0.00","..","0.10","0.07","0.14","0.00",".."
"40 to 59 years","0.34","0.28","0.40","0.00","..","0.43","0.36","0.50","0.00",".."
"60 to 69 years","0.69","0.58","0.82","0.00","..","0.72","0.63","0.83","0.00",".."
"married/common-law","1.00","0.88","1.14","0.98","..","0.93","0.78","1.11","0.40",".."
"less than secondary school graduation","0.97","0.80","1.16","0.71","..","1.27","1.06","1.53","0.01",".."
"in lowest income quintile","1.07","0.92","1.25","0.35","..","1.07","0.90","1.27","0.46",".."
"white","1.07","0.89","1.29","0.47","..","0.99","0.80","1.22","0.90",".."
"personal and family history","","","","","","","","","",""
"has regular doctor","0.99","0.75","1.32","0.96","..","1.19","0.88","1.61","0.20",".."
"current smoker","0.92","0.75","1.12","0.39","..","0.89","0.77","1.04","0.14",".."
"cardiovascular disease","1.81","1.49","2.21","0.00","..","2.00","1.74","2.30","0.00",".."
"family history of high blood pressure","1.65","1.46","1.88","0.00","..","1.50","1.33","1.69","0.00",".."
"family history of early cvd","1.20","1.05","1.38","0.01","..","0.87","0.77","0.98","0.02",".."
"risk factors","","","","","","","","","",""
"less than 150 minutes/week mvpa","1.26","1.05","1.51","0.01","11.8","1.19","1.01","1.39","0.03","6.8"
"eats fruits or vegetables fewer than five times per day","1.15","1.00","1.34","0.05","9.4","1.18","1.02","1.36","0.03","12.2"
"overweight or obese","1.57","1.35","1.83","0.00","24.4","1.45","1.18","1.78","0.00","23.6"
"diabetes","2.25","1.92","2.65","0.00","8.1","1.68","1.41","2.01","0.00","6.0"
"chronic kidney disease","1.49","1.21","1.83","0.00","2.7","1.18","0.97","1.44","0.10","0.8"
"non-hdl cholesterol 4.3 mmol/l or higher","1.03","0.89","1.20","0.68","0.6","1.00","0.87","1.15","0.99","0.0"
