"","canada","united states","united states to canada difference"
"","percent","percent","percentage points"
"men","","",""
"high school education or less","0.7","-6.4","-7.1"
"post-secondary education below bachelor's degree","5.8","-9.4","-15.2"
"bachelor's degree","3.5","2.0","-1.5"
"all education levels","7.4","-1.7","-9.1"
"women","","",""
"high school education or less","6.8","-0.7","-7.5"
"post-secondary education below bachelor's degree","7.2","-7.1","-14.3"
"bachelor's degree","7.5","-0.1","-7.6"
"all education levels","13.8","5.3","-8.5"
