"","men","men","women","women"
"","canada","united states","canada","united states"
"","percent","percent","percent","percent"
"industry","","","",""
"agriculture, forestry, fishing and hunting","2.5","13.7","17.3","3.0"
"mining, quarrying and oil and gas extraction","26.4","4.4","25.9","-1.1"
"construction","15.6","-2.2","20.3","5.3"
"manufacturing","-2.2","-4.0","10.2","0.6"
"wholesale trade and retail trade","2.9","-6.4","18.7","1.4"
"finance, insurance and real estate","4.2","-3.6","16.2","1.9"
"educational services, health care and social assistance","9.3","-1.6","10.0","2.2"
"accommodation and food services","10.6","2.1","20.6","7.5"
"public administration","18.4","-5.1","17.7","-7.1"
"other services","2.8","-8.9","7.2","-4.0"
"all industries","4.2","-5.5","9.3","1.1"
