"team","nat","from","to","record","record","record","record","record","record","record","record","ref"
"team","nat","from","to","g","w","d","l","gf","ga","gd","win %","ref"
"argentino de rosario","argentina","29 june 1996","19 april 1997","30","11","13","6","39","30","+9","36.67","none"
"argentino de rosario","argentina","30 september 2000","28 october 2000","6","2","1","3","4","11","-7","33.33","none"
"juan aurich","peru","9 january 2002","14 april 2002","8","1","2","5","9","14","-5","12.50","none"
"sport boys","peru","6 june 2002","december 2003","62","24","18","20","96","78","+18","38.71","none"
"coronel bolognesi","peru","april 2004","december 2005","97","40","22","35","146","130","+16","41.24","none"
"coronel bolognesi","peru","27 june 2006","december 2006","26","11","7","8","37","29","+8","42.31","none"
"sporting cristal","peru","january 2007","may 2007","18","5","6","7","21","29","-8","27.78","none"
"o'higgins","chile","12 december 2007","1 august 2009","64","26","16","22","107","103","+4","40.63","none"
"emelec","ecuador","18 december 2009","14 december 2010","58","31","14","13","80","49","+31","53.45","none"
"universidad de chile","chile","15 december 2010","3 december 2012","135","80","35","20","268","132","+136","59.26","none"
"chile","chile","3 december 2012","19 january 2016","44","27","9","8","89","44","+45","61.36","none"
"sevilla","spain","27 june 2016","26 may 2017","53","27","12","14","97","71","+26","50.94","none"
"argentina","argentina","1 june 2017","15 july 2018","15","7","4","4","27","21","+6","46.67","none"
"santos","brazil","13 december 2018","present","25","14","5","6","43","21","+22","56.00","none"
"career total","career total","career total","career total","639","304","164","171","1,057","761","+296","47.57","-"
