"club","season","league","league","league","playoffs","playoffs","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"arizona sahuaros","2010","npsl","-","-","2","1","-","-","2","1","none","none"
"d.c. united","2012","mls","28","6","4","2","2","0","-","-","34","8"
"d.c. united","2013","mls","25","2","-","-","5","1","-","-","30","3"
"d.c. united","2014","mls","32","2","2","1","0","0","0","0","34","3"
"d.c. united","2015","mls","29","2","3","0","1","1","2","0","35","3"
"d.c. united","2016","mls","32","1","1","0","0","0","2","0","35","1"
"d.c. united","2017","mls","19","0","-","-","0","0","-","-","19","0"
"d.c. united","2018","mls","15","0","1","1","0","0","-","-","16","1"
"d.c. united","total","total","180","13","11","4","8","2","4","0","203","19"
"toronto","2019","mls","3","1","0","0","0","0","1","0","4","1"
"career total","career total","career total","183","14","11","4","10","3","5","0","209","21"
