"occupation","total aboriginal identity population","first nations single identity","metis single identity","inuit single identity","non-aboriginal identity population"
"occupation","percentage","percentage","percentage","percentage","percentage"
"total population","100.0","100.0","100.0","100.0","100.0"
"management occupations","8.0","7.8","8.3","7.2","11.6"
"business, finance and administration occupations","14.6","14.2","15.0","15.7","16.8"
"natural and applied sciences and related occupations","3.9","3.5","4.4","3.1","7.3"
"health occupations","5.3","4.6","6.3","2.6","6.5"
"occupations in education, law and social, community and government services","14.8","16.6","12.5","18.2","11.9"
"occupations in art, culture, recreation and sport","2.0","2.1","1.8","4.0","2.8"
"sales and service occupations","25.3","25.7","24.8","26.0","22.7"
"trades, transport and equipment operators and related occupations","18.5","17.8","19.4","19.0","13.9"
"natural resources, agriculture and related production occupations","3.6","3.9","3.5","2.1","2.0"
"occupations in manufacturing and utilities","3.8","3.8","3.9","2.2","4.5"
"females","100.0","100.0","100.0","100.0","100.0"
"management occupations","7.3","7.1","7.6","5.7","9.0"
"business, finance and administration occupations","22.3","21.5","23.2","23.9","24.7"
"natural and applied sciences and related occupations","1.9","1.8","2.2","1.0","3.3"
"health occupations","9.0","7.9","10.6","4.4","10.9"
"occupations in education, law and social, community and government services","21.1","23.6","17.5","27.1","16.6"
"occupations in art, culture, recreation and sport","2.1","2.1","2.1","4.1","3.2"
"sales and service occupations","30.8","30.5","31.2","29.7","26.9"
"trades, transport and equipment operators and related occupations","2.6","2.6","2.7","2.4","1.7"
"natural resources, agriculture and related production occupations","1.0","1.0","1.0","0.3","0.9"
"occupations in manufacturing and utilities","1.9","2.0","1.9","1.3","2.8"
"males","100.0","100.0","100.0","100.0","100.0"
"management occupations","8.8","8.6","9.0","8.8","14.1"
"business, finance and administration occupations","6.8","6.5","7.0","7.0","9.5"
"natural and applied sciences and related occupations","5.9","5.2","6.6","5.3","10.9"
"health occupations","1.5","1.2","2.0","0.6","2.5"
"occupations in education, law and social, community and government services","8.5","9.2","7.6","8.8","7.5"
"occupations in art, culture, recreation and sport","1.9","2.1","1.6","3.9","2.5"
"sales and service occupations","19.8","20.6","18.7","22.1","18.7"
"trades, transport and equipment operators and related occupations","34.8","33.9","35.8","36.3","25.2"
"natural resources, agriculture and related production occupations","6.3","6.9","5.9","4.1","3.1"
"occupations in manufacturing and utilities","5.7","5.7","5.9","3.0","6.1"
