"","percentage of households","neighbourhood satisfaction"
"number of unmet services","",""
"no unmet need for services in the neighbourhood","67.0","88.5"
"at least one unmet need for services in the neighbourhood","29.0","79.0"
"type of unmet services","",""
"child care facilities","2.9","73.0"
"schools","1.9","75.0"
"employment services","6.9","73.0"
"medical services","10.9","79.0"
"community support services","5.2","72.0"
"parks, bike paths, playgrounds, other free or low-cost recreation facilities","4.4","69.0"
"public transportation","8.4","82.0"
"shops, stores or markets to buy things households need","6.8","77.0"
"cultural facilities","10.0","77.0"
"volunteering","",""
"did volunteer work in the past 12 months","32.0","87.1"
"did not do volunteer work in the past 12 months","67.0","84.8"
"participation in a community group","",""
"participant in a community group within the neighbourhood","16.2","89.0"
"not a participant in a community group within the neighbourhood","83.8","84.9"
"sense of belonging to the community","",""
"rating of 0 (very dissatisfied) to 5","27.0","70.0"
"rating of 6 to 10","71.0","91.4"
