"province or territory","gang-related","gang-related","gang-related","gang-related","gang-related","gang-related","gang-related","gang-related"
"province or territory","2018","2018","2018","2018","2017r","2017r","2017r","2017r"
"province or territory","number","percent","rate","number of total homicides","number","percent","rate","number of total homicides"
"newfoundland and labrador","1","50.0","0.19","2","0","0.0","0.00","4"
"prince edward island","0","..","0.00","0","0","0.0","0.00","2"
"nova scotia","2","18.2","0.21","11","1","4.8","0.11","21"
"new brunswick","1","7.7","0.13","13","3","30.0","0.39","10"
"quebec","32","38.6","0.38","83","15","16.1","0.18","93"
"ontario","51","19.2","0.36","266","48","24.4","0.34","197"
"manitoba","7","12.7","0.52","55","13","27.7","0.97","47"
"saskatchewan","8","23.5","0.69","34","5","13.2","0.43","38"
"alberta","22","27.2","0.51","81","31","26.1","0.73","119"
"british columbia","33","37.1","0.66","89","45","37.8","0.91","119"
"yukon","0","0.0","0.00","3","2","25.0","5.05","8"
"northwest territories","0","0.0","0.00","6","0","0.0","0.00","2"
"nunavut","0","0.0","0.00","8","0","0.0","0.00","6"
"canada","157","24.1","0.42","651","163","24.5","0.45","666"
