"province or territory","male homicide victims","male homicide victims","male homicide victims","male homicide victims","female homicide victims","female homicide victims","female homicide victims","female homicide victims","total homicide victims","total homicide victims","total homicide victims","total homicide victims"
"province or territory","indigenous","indigenous","non-indigenous","non-indigenous","indigenous","indigenous","non-indigenous","non-indigenous","indigenous","indigenous","non-indigenous","non-indigenous"
"province or territory","number","rate","number","rate","number","rate","number","rate","number","rate","number","rate"
"newfoundland and labrador","0","0.00","1","0.42","0","0.00","0","0.00","0","0.00","1","0.21"
"prince edward island","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"nova scotia","0","0.00","7","1.60","0","0.00","4","0.88","0","0.00","11","1.23"
"new brunswick","0","0.00","5","1.38","1","5.96","7","1.89","1","2.93","12","1.64"
"quebec","2","1.81","63","1.55","2","1.87","16","0.39","4","1.84","79","0.97"
"ontario","9","4.21","183","2.67","8","3.59","64","0.91","17","3.89","247","1.78"
"manitoba","30","24.36","13","2.34","10","7.90","2","0.36","40","16.02","15","1.35"
"saskatchewan","18","18.54","9","1.84","4","4.01","3","0.63","22","11.18","12","1.24"
"alberta","20","13.94","40","1.98","10","6.76","10","0.50","30","10.30","50","1.25"
"british columbia","7","4.57","65","2.80","4","2.51","13","0.55","11","3.52","78","1.66"
"yukon","1","22.28","1","6.46","1","21.59","0","0.00","2","21.93","1","3.31"
"northwest territories","5","43.34","1","8.90","0","0.00","0","0.00","5","21.76","1","4.67"
"nunavut","4","23.80","0","0.00","4","24.40","0","0.00","8","24.10","0","0.00"
"canada","96","10.14","388","2.23","44","4.54","119","0.67","140","7.31","507","1.44"
