"year","single","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","album"
"year","single","fra","bel","bel","den","ita","ned","swi","album"
"2006","pour ceux qui dorment les yeux ouverts","-","-","-","-","-","-","-","non-album release"
"2013","meurtre par strangulation","59","-","17","-","-","-","-","subliminal"
"2013","j'me tire","1","4","1","-","-","5","17","subliminal"
"2013","bella","3","6","3","-","-","-","25","subliminal"
"2013","one shot","16","7","25","-","-","-","-","subliminal"
"2013","ca marche","29","59","28","-","-","-","-","subliminal"
"2013","changer","9","-","15","-","-","-","-","subliminal"
"2013","zombie","3","-","21","-","-","-","66","the hidden side of subliminal"
"2013","warano-style","21","-","49","-","-","-","-","the hidden side of subliminal"
"2015","est-ce que tu m'aimes?","3","19","2","4","1","-","43","mon cœur avait raison"
"2015","laissez passer","7","-","26","-","-","-","-","mon cœur avait raison"
"2015","brise","6","-","36","-","-","-","-","mon cœur avait raison"
"2015","sapes comme jamais","3","-","21","-","-","-","-","mon cœur avait raison"
"2016","ma beaute","11","-","48","-","-","-","-","a contrecoeur"
"2016","150","61","-","-","-","-","-","-","a contrecoeur"
"2016","boucan","21","-","44","-","-","-","-","a contrecoeur"
"2016","tout donner","18","-","26","-","-","-","-","a contrecoeur"
"2017","loin","33","-","-","-","-","-","71","a contrecoeur"
"2017","marabout","19","-","22","-","-","-","-","none"
"2017","cameleon","7","-","32","-","-","-","38","none"
"2018","mi gna","4","-","21","-","-","-","74","none"
"2018","loup garou","3","-","38","-","-","-","86","none"
"2018","la meme","1","21","1","-","-","-","24","none"
"2018","corazon","-","-","50","-","-","-","-","none"
"2018","lo mismo","-","-","-","-","-","-","-","none"
"2019","miami vice","39","-","46","-","-","-","83","none"
