"type of offence","2016r","2016r","2017","2017","percent change in rate 2016 to 2017","percent change in rate 2007 to 2017"
"type of offence","number","rate","number","rate","percent","percent"
"total criminal code (excluding traffic) - "crime rate"","1,912,752","5,274","1,958,023","5,334","1","-23"
"total violent crime","388,564","1,071","403,201","1,098","3","-19"
"homicide","612","2","660","2","7","0"
"other violations causing death","108","0","78","0","-29","-18"
"attempted murder","786","2","827","2","4","-7"
"sexual assault - level 3 - aggravated","112","0","161","0","42","2"
"sexual assault - level 2 - weapon or bodily harm","395","1","417","1","4","-3"
"sexual assault - level 1","21,072","58","24,094","66","13","3"
"sexual violations against children","7,334","20","8,046","22","8",".."
"assault - level 3 - aggravated","3,466","10","3,541","10","1","-9"
"assault - level 2 - weapon or bodily harm","49,945","138","51,853","141","3","-15"
"assault - level 1","159,592","440","163,034","444","1","-19"
"assault against a peace officer","10,406","29","10,847","30","3","-2"
"other assaults","1,863","5","1,952","5","4","-56"
"firearms - use of, discharge, pointing","2,534","7","2,734","7","7","49"
"robbery","21,958","61","22,739","62","2","-40"
"forcible confinement or kidnapping","3,775","10","3,778","10","-1","-27"
"trafficking in persons","249","1","271","1","8",".."
"extortion","3,075","8","3,133","9","1","102"
"criminal harassment","18,960","52","19,438","53","1","-4"
"uttering threats","60,909","168","62,074","169","1","-29"
"indecent and harassing communications","15,276","42","16,199","44","5","-45"
"non-consensual distribution of intimate images","833","2","1,469","4","74",".."
"commodification of sexual activity","759","2","1,106","3","44",".."
"other violent criminal code violations","4,545","13","4,750","13","3","-3"
"total property crime","1,169,445","3,225","1,191,089","3,245","1","-28"
"breaking and entering","160,230","442","159,336","434","-2","-38"
"possess stolen property","20,538","57","23,869","65","15","-36"
"theft of motor vehicle","79,055","218","85,020","232","6","-48"
"theft over $5,000","15,528","43","17,255","47","10","-11"
"theft of $5,000 or under","496,976","1,370","504,557","1,375","0","-22"
"fraud","109,630","302","112,863","307","2","14"
"identity theft","3,136","9","3,267","9","3",".."
"identity fraud","14,033","39","14,275","39","0",".."
"mischief","261,773","722","262,116","714","-1","-38"
"arson","8,546","24","8,531","23","-1","-41"
"total other criminal code offences","354,743","978","363,733","991","1","-4"
"weapons violations","15,240","42","15,785","43","2","-11"
"child pornography","6,360","18","6,521","18","1","315"
"prostitution","195","1","134","0","-32","-97"
"terrorism","132","0","92","0","-31",".."
"disturb the peace","97,971","270","96,381","263","-3","-26"
"administration of justice violations","206,834","570","216,836","591","4","18"
"other violations","28,011","77","27,984","76","-1","-28"
"total criminal code traffic violations","125,016","345","125,378","342","-1","-15"
"alcohol impaired driving","68,168","188","65,558","179","-5","-26"
"drug impaired driving","3,136","9","3,489","10","10",".."
"other criminal code traffic violations","53,712","148","56,331","153","4","-5"
"total drug offences","96,515","266","90,625","247","-7","-20"
"possession - cannabis","44,919","124","38,498","105","-15","-27"
"possession - cocaine","7,132","20","7,108","19","-2","-46"
"possession - methamphetamines or ecstasy","8,089","22","9,269","25","13",".."
"possession - heroin","2,187","6","2,219","6","0",".."
"possession - other drugs","7,629","21","7,990","22","3","-15"
"trafficking, production or import/export - cannabis","10,738","30","9,494","26","-13","-45"
"trafficking, production or import/export - cocaine","7,278","20","6,803","19","-8","-46"
"trafficking, production or import/export - methamphetamines or ecstasy","2,365","7","2,666","7","11",".."
"trafficking, production or import/export - heroin","924","3","1,015","3","9",".."
"trafficking, production or import/export - other drugs","5,254","14","5,563","15","5","-10"
"total other federal statute violations","27,644","76","30,786","84","10","-6"
"human trafficking under the immigration and refugee protection act","102","0","104","0","1",".."
"youth criminal justice act","6,148","17","5,452","15","-12","-52"
"other federal statutes","21,394","59","25,230","69","17","17"
"total - all violations","2,161,927","5,962","2,204,812","6,006","1","-22"
