"year","passengers transported","passengers transported","passengers transported"
"year","by eurostar","by eurotunnel passenger shuttles","total"
"1994","~100,000","0.2","0.3"
"1995","2,920,309","4.4","7.3"
"1996","4,995,010","7.9","12.9"
"1997","6,004,268","8.6","14.6"
"1998","6,307,849","12.1","18.4"
"1999","6,593,247","11.0","17.6"
"2000","7,130,417","9.9","17.0"
"2001","6,947,135","9.4","16.3"
"2002","6,602,817","8.6","15.2"
"2003","6,314,795","8.6","14.9"
"2004","7,276,675","7.8","15.1"
"2005","7,454,497","8.2","15.7"
"2006","7,858,337","7.8","15.7"
"2007","8,260,980","7.9","16.2"
"2008","9,113,371","7.0","16.1"
"2009","9,220,233","6.9","16.1"
"2010","9,528,558","7.5","17.0"
"2011","9,679,764","9.3","19.0"
"2012","9,911,649","10.0","19.9"
"2013","10,132,691","10.3","20.4"
"2014","10,397,894","10.6","21.0"
"2015","10,399,267","10.5","20.9"
"2016","10,011,337","10.6","20.6"
"2017","10,300,622","10.4","20.7"
"a only passengers taking eurostar to cross the channel","a only passengers taking eurostar to cross the channel","a only passengers taking eurostar to cross the channel","a only passengers taking eurostar to cross the channel"
