"team","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"team","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"brescia","1994-95","serie a","1","0","0","0","-","-","1","0","none","none"
"brescia","1995-96","serie b","0","0","0","0","-","-","0","0","none","none"
"brescia","1996-97","serie b","17","2","1","0","-","-","18","2","none","none"
"brescia","1997-98","serie a","29","4","1","0","-","-","30","4","none","none"
"brescia","2000-01","serie a","10","0","0","0","-","-","10","0","none","none"
"brescia","total","total","57","6","2","0","-","-","59","6","none","none"
"inter milan","1998-99","serie a","18","0","7","0","7","0","-","-","32","0"
"inter milan","2000-01","serie a","4","0","1","0","3","0","-","-","8","0"
"inter milan","total","total","22","0","8","0","10","0","-","-","40","0"
"reggina","1999-2000","serie a","28","6","2","0","-","-","30","6","none","none"
"reggina","total","total","28","6","2","0","-","-","30","6","none","none"
"milan","2001-02","serie a","18","2","2","0","9","0","-","-","29","2"
"milan","2002-03","serie a","27","9","2","0","13","0","-","-","42","9"
"milan","2003-04","serie a","32","6","0","0","10","1","2","1","44","8"
"milan","2004-05","serie a","30","4","1","0","12","1","0","0","43","5"
"milan","2005-06","serie a","33","4","4","0","12","1","-","-","49","5"
"milan","2006-07","serie a","34","2","4","0","14","1","-","-","52","3"
"milan","2007-08","serie a","33","3","1","0","9","2","2","0","45","5"
"milan","2008-09","serie a","26","1","0","0","3","1","-","-","29","2"
"milan","2009-10","serie a","34","0","1","0","8","1","-","-","43","1"
"milan","2010-11","serie a","17","1","3","0","5","0","-","-","25","1"
"milan","total","total","284","32","18","0","95","8","4","1","401","41"
"juventus","2011-12","serie a","37","3","4","0","-","-","41","3","none","none"
"juventus","2012-13","serie a","32","5","2","0","10","0","1","0","45","5"
"juventus","2013-14","serie a","30","4","1","0","13","2","1","0","45","6"
"juventus","2014-15","serie a","20","4","2","0","10","1","1","0","33","5"
"juventus","total","total","119","16","9","0","33","3","3","0","164","19"
"new york city","2015","major league soccer","13","0","0","0","-","-","13","0","none","none"
"new york city","2016","major league soccer","32","1","0","0","-","-","1","0","33","1"
"new york city","2017","major league soccer","15","0","0","0","-","-","1","0","16","0"
"new york city","total","total","60","1","0","0","-","-","2","0","62","1"
"career total","career total","career total","570","61","39","0","138","11","9","1","756","73"
