"","men","men","women","women"
"","1941","1946","1941","1946"
"","predicted probability of retirement at age 61","predicted probability of retirement at age 61","predicted probability of retirement at age 61","predicted probability of retirement at age 61"
"er unemployment rate","","","",""
"low","10.2","8.3","18.9","14.5"
"moderate","11.4","8.5","22.6","15.7"
"high","14.0","8.9","30.9","18.2"
"conjugal status","","","",""
"no spouse","17.0","12.0","15.6","11.2"
"most recent marriage","11.2","8.3","27.1","17.7"
"married to the same person since age 40 or earlier","11.6","8.2","27.4","17.1"
"divorced","10.6","7.0","15.8","12.6"
"use of disability tax credit during the year","","","",""
"no","11.5","8.4","22.7","15.5"
"yes","47.9","37.7","62.4","31.3"
"collected employment insurance benefits during the year","","","",""
"no","10.6","8.0","20.0","14.1"
"yes","20.0","14.0","59.7","40.2"
"unionization history at age 50","","","",""
"no","10.2","7.0","22.1","13.2"
"yes, unionized at least 1 year since age 40","9.3","6.8","15.1","11.4"
"yes, unionized every year since age 40","14.6","11.4","31.1","22.2"
"self-employed during the year","","","",""
"no","11.7","8.4","23.0","15.6"
"yes","10.4","9.2","23.3","16.1"
"personal socioeconomic status","","","",""
"lower quintile","9.9","6.8","22.3","16.2"
"second","11.0","7.6","19.0","13.2"
"third","11.6","9.1","19.5","12.8"
"fourth","14.3","9.7","23.7","15.8"
"upper quintile","11.3","9.3","30.7","19.8"
"number of years of contribution to a private pension plan","","","",""
"0","6.9","5.5","19.5","12.9"
"1 to 4 years","11.2","8.6","18.4","15.3"
"5 or more years","18.2","12.0","32.8","18.5"
