"census metropolitan area","canadians whose household has a working:","canadians whose household has a working:","canadians whose household has a working:"
"census metropolitan area","smoke detector","carbon monoxide detector","fire extinguisher"
"census metropolitan area","percent","percent","percent"
"st. john's","98","42","82"
"halifax","98","43","67"
"moncton","97","35","66"
"saint john","98","39","73"
"saguenay","99","31","72"
"quebec","99","27","71"
"sherbrooke","98","40","66"
"trois-rivieres","99","43","67"
"montreal","97","31","59"
"ottawa-gatineau","98","43","64"
"ottawa-gatineau","98","74","62"
"kingston","99","75","65"
"peterborough","99","80","71"
"oshawa","99","89","71"
"toronto","98","82","56"
"hamilton","99","85","62"
"st. catharines-niagara","100","85","69"
"kitchener","100","75","69"
"brantford","99","84","66"
"guelph","99","80","67"
"london","100","77","64"
"windsor","99","80","68"
"barrie","100","85","75"
"greater sudbury","100","85","74"
"thunder bay","100","69","74"
"winnipeg","97","66","60"
"regina","99","65","59"
"saskatoon","98","72","64"
"calgary","97","67","59"
"edmonton","96","59","67"
"kelowna","98","65","74"
"abbotsford-mission","99","54","64"
"vancouver","94","51","64"
"victoria","98","47","74"
"canada","98","60","66"
