"selected characteristics","number of emergency planning activities in the household:","number of emergency planning activities in the household:","number of emergency planning activities in the household:"
"selected characteristics","none","1 to 2","3 to 4"
"selected characteristics","percent","percent","percent"
"sex","","",""
"male","8","42","48"
"female","9","43","46"
"age group","","",""
"15 to 24,","7","34","52"
"25 to 34","11","47","41"
"35 to 44","8","45","45"
"45 to 54","9","43","46"
"55 to 64","8","43","48"
"65 and older","7","42","49"
"immigrant status","","",""
"canadian-born","9","42","47"
"established immigrant","7","47","45"
"recent immigrant","6","40","53"
"visible minority status","","",""
"visible minority","6","44","48"
"not a visible minority","9","43","47"
"aboriginal identity","","",""
"aboriginal","9","38","51"
"non-aboriginal","8","43","47"
"activity-limitation - long-term physical condition","","",""
"yes","8","41","49"
"no","8","43","47"
"activity-limitation - long-term psychological, emotional or mental health condition","","",""
"yes","11","43","41"
"no","8","43","48"
"household income","","",""
"less than $20,000","9","49","39"
"$20,000 to less than $40,000","8","45","47"
"$40,000 to less than $60,000","8","44","47"
"$60,000 to less than $80,000","7","43","48"
"$80,000 to less than $100,000","10","43","47"
"$100,000 to less than $150,000","9","45","44"
"$150,000 and over","9","42","48"
"tenure","","",""
"own","8","42","48"
"rent","9","45","45"
"household size","","",""
"1 person","10","48","41"
"2 persons","9","43","47"
"3 persons","8","42","46"
"4 persons","9","42","45"
"5 persons or more","5","37","53"
"household composition","","",""
"household with senior(s)","7","40","51"
"household without senior(s)","9","43","45"
"household with child(ren)","8","42","47"
"household without child(ren)","9","42","47"
"total","8","42","47"
