"","weather-related emergencies and natural disasters","extended power outage","outbreak of serious or life-threatening disease","industrial or transportation accident","contamination or shortage of water or food","act of terrorism or terrorist threat","rioting or civil unrest"
"","percent","percent","percent","percent","percent","percent","percent"
"news - radio","26","16","16","24","15","23","17"
"news - television","21","4","17","19","14","24","19"
"news - internet","20","7","17","18","13","18","16"
"local government","15","9","5","14","40","7","8"
"police or law enforcement","13","3","2","19","4","33","40"
"family","12","10","4","5","7","4","5"
"9-1-1 services","11","2","5","15","4","16","15"
"first responders","6","1","2","10","2","2","2"
"neighbours","4","5","0.5","1","2","1","1"
"friends","3","4","1","2","3","2","2"
"provincial government","2","2","5","4","5","2","2"
"not-for-profit/charitable organization","2","0.4","0.5","0.4","2","0.2","f"
"federal government","2","0.2","4","2","3","4","2"
"social media","2","1","1","1","1","2","2"
"utility company/provider","1","48","0.1","1","3","f","f"
"hospital, clinic, doctor or other medical professional","1","0.3","51","1","6","0.4","f"
"newspapers","1","1","1","1","1","1","1"
"other community organization","1","1","0.3","1","2","0.2","f"
"religious or cultural organization","0.3","f","f","f","0.3","f","f"
"insurance agent/company","0.2","f","f","0.2","f","0.0","f"
"other","1","1","f","1","2","1","f"
