"","period of first arrival","period of first arrival","period of first arrival","period of first arrival","period of first arrival"
"","1990 to 1994","1995 to 1999","2000 to 2004","2005 to 2009","2010 to 2014"
"","percent","percent","percent","percent","percent"
"gender","","","","",""
"male","67.1","71.2","66.1","60.1","59.3"
"female","32.9","28.8","33.9","39.9","40.7"
"total","100.0","100.0","100.0","100.0","100.0"
"age received first work permit","","","","",""
"18 to 24","25.5","23.0","23.8","24.6","26.7"
"25 to 34","40.7","39.6","40.8","43.5","45.0"
"35 to 44","21.5","22.3","21.3","20.3","17.4"
"45 to 54","9.4","11.4","10.5","8.7","7.6"
"55 to 64","3.0","3.7","3.6","2.9","3.2"
"total","100.0","100.0","100.0","100.0","100.0"
"region of birth","","","","",""
"northern/western europe","21.3","22.9","23.9","24.2","26.6"
"southern/eastern europe","5.3","5.3","4.8","5.6","7.9"
"africa","2.6","2.1","2.4","2.3","2.4"
"eastern asia","11.9","10.5","10.2","10.1","11.8"
"southern asia","2.0","2.5","3.7","5.8","7.0"
"southeast asia","8.1","4.4","7.2","15.3","10.7"
"west asia and the middle east","1.0","1.3","1.6","1.3","1.3"
"oceania","5.3","6.6","8.6","8.8","6.4"
"north america","37.1","38.8","31.7","19.7","17.2"
"caribbean, central and south america","5.5","5.2","5.4","6.3","7.7"
"total","100.0","100.0","100.0","100.0","100.0"
"skill level of first work permit","","","","",""
"higher skilled","65.1","67.3","57.2","40.0","35.8"
"lower skilled","20.5","14.6","18.0","24.7","16.4"
"not specified","14.4","18.1","24.8","35.3","47.8"
"total","100.0","100.0","100.0","100.0","100.0"
"destination of province or region","","","","",""
"atlantic","3.9","4.7","4.5","3.4","3.7"
"quebec","13.8","15.8","17.1","13.8","16.4"
"ontario","44.3","43.3","42.0","31.7","30.8"
"manitoba and saskatchewan","5.2","4.3","3.4","4.1","4.2"
"alberta","10.2","10.8","10.3","18.8","17.3"
"british columbia","16.9","20.3","22.1","27.1","26.5"
"territories","0.3","0.3","0.3","0.4","0.3"
"not stated","10.6","4.9","3.7","4.8","0.8"
"total","100.0","100.0","100.0","100.0","100.0"
"","number","number","number","number","number"
"total n","267,000","296,000","357,000","533,000","578,000"
