"","1990s","2000s","difference"
"","percent","percent","percentage points"
"business sector","100.00","100.00","0.00"
"industry","","",""
"agriculture, forestry, fishing and hunting","5.58","3.39","-2.19"
"mining and oil and gas extraction","1.47","1.82","0.35"
"utilities","0.93","0.80","-0.12"
"construction","8.81","10.04","1.23"
"manufacturing","18.76","14.99","-3.77"
"wholesale trade","6.80","6.75","-0.05"
"retail trade","13.03","12.65","-0.38"
"transport and warehousing","5.98","6.18","0.20"
"information and cultural industries","2.18","2.38","0.21"
"finance, insurance, real estate and renting and leasing","9.11","9.37","0.27"
"professional, scientific and technical services","5.79","7.54","1.75"
"administrative and support, waste management and remediation services","4.12","5.94","1.82"
"arts, entertainment and recreation","1.36","1.78","0.42"
"accommodation and food services","7.31","7.28","-0.03"
"other private services","8.77","9.08","0.30"
