"","owner","renter","renter"
"","","in social and affordable housing","not in social and affordable housing"
"","households","households","households"
"difficulty meeting financial needs","","",""
"very difficult or difficult","18.2","44.0","29.0"
"neither difficult nor easy","41.0","33.0","41.0"
"easy and very easy","40.0","23.0","30.0"
"household member in financial difficulty","","",""
"asked for financial help","4.0","8.0","8.2"
"took on debt or sold an asset","5.2","3.7","6.1"
"had to turn to a charity organization","0.7","8.7","1.9"
"did two or more of the above actions","5.8","23.0","13.5"
"did none of the above actions","84.3","57.0","70.0"
"homeless status","","",""
"has been homeless","1.3","13.0","3.8"
"has never been homeless","98.7","87.0","96.2"
"sexual orientation","","",""
"heterosexual","97.4","94.3","93.0"
"sexual minority","2.6","5.7","7.0"
"life satisfaction","","",""
"rating of 0 (very dissatisfied) to 5","12.1","30.0","23.0"
"rating of 6 to 10","87.9","70.0","77.0"
"self-rated general health","","",""
"excellent or very good or good","87.8","64.0","83.1"
"fair or poor","12.2","36.0","16.9"
"self-rated mental health","","",""
"excellent or very good or good","92.0","77.0","84.8"
"fair or poor","8.0","23.0","15.2"
