"year","single","peak positions","peak positions","peak positions","peak positions","peak positions","peak positions","album"
"year","single","aus","fra","jpn","nz","uk","us dance","album"
"1995","it's alright","4","22","-","43","35","","imagination"
"1996","imagination","37","","","","","","imagination"
"1996","i like the way","67","","64","","37","4","imagination"
"1996","i'm not in love","86","","","","","","imagination"
"1997","dream your dream","","","52","","","","remix your imagination"
"1998","joy","94","-","-","","47","13","remix your imagination"
"1998","delicious","","","","","52","","pay attention"
"2000","pull up to the bumper","36","","","","","","a delicious collection"
"2001","frenzy","53","","","","","","a delicious collection"
"2006","water for chocolate","102","","","","","","water for chocolate"
"2006","son of a preacher man","129","","","","","","water for chocolate"
"2007","5 days of rain","202","","","","","","water for chocolate"
"2007","i only have eyes for you","-","","","","","","the other woman"
"2008","takin' it to the streets","-","","","","","","single-only"
"2012",""love is in control (finger on the trigger)" deni hines & the a-funk allstars)","-","","","","","","single-only"
"2016","what about love","-","","","","","","the soul sessions"
"2017","i got your back","-","","","","","","the soul sessions"
