"sector","share in enterprises","share in employment"
"sector","percent","percent"
"agriculture, forestry, fishing and hunting","4.38","6.58"
"mining, oil and gas extraction, and utilities","3.34","2.77"
"construction","9.68","5.10"
"manufacturing","12.93","8.00"
"wholesale trade","18.47","10.02"
"retail trade","18.80","8.95"
"transportation and warehousing","24.78","6.67"
"professional services","10.97","10.00"
"education and health services","19.07","14.31"
"arts, entertainment and recreation, and accommodation and food services","24.01","15.36"
"other services","14.34","10.17"
