"year","female accused","female accused","male accused","male accused","total accused","total accused"
"year","number","rate","number","rate","number","rate"
"2007","58","0.40","500","3.57","558","1.97"
"2008","53","0.37","504","3.50","557","1.94"
"2009","64","0.44","535","3.72","599","2.00"
"2010","66","0.44","524","3.61","590","2.01"
"2011","59","0.39","555","3.78","614","2.07"
"2012","59","0.39","492","3.31","551","1.83"
"2013","56","0.37","441","2.93","497","1.64"
"2014","59","0.38","421","2.77","480","1.56"
"2015","64","0.41","523","3.41","587","1.90"
"2016","71","0.45","456","2.94","527","1.68"
"2017","70","0.44","459","2.93","529","1.67"
