"year","team","g","gs","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","sacked","sacked","fumbles","fumbles"
"year","team","g","gs","comp","att","pct","yds","y/a","td","int","rtg","att","yds","avg","td","sack","ydsl","fum","fuml"
"2002","hou","16","16","233","444","52.5","2,424","5.8","9","15","62.8","59","282","4.8","3","76","411","21","7"
"2003","hou","12","11","167","295","56.6","2,013","6.8","9","13","69.5","27","151","5.6","2","15","90","4","0"
"2004","hou","16","16","285","466","61.2","3,531","7.6","16","14","83.5","73","299","4.1","0","49","301","10","2"
"2005","hou","16","16","256","423","60.5","2,488","5.9","14","11","77.2","56","308","5.5","1","68","424","17","6"
"2006","hou","16","16","302","442","68.3","2,767","6.3","11","12","82.1","53","195","3.7","2","41","240","16","7"
"2007","car","6","4","73","136","53.7","635","4.7","3","5","58.3","17","59","3.5","0","13","74","1","0"
"2008","nyg","3","0","9","12","75.0","115","9.6","2","0","144.1","8","10","1.3","0","1","2","0","0"
"2009","nyg","4","0","15","24","62.5","172","7.2","1","0","97.9","9","27","3.0","1","2","11","1","0"
"2010","sf","1","0","5","13","38.5","67","5.2","0","1","23.6","0","0","0.0","0","1","5","0","0"
"2011","nyg","0","0","0","0","0.0","0","0.0","0","0","0.0","0","0","0.0","0","0","0","0","0"
"2012","nyg","2","0","2","3","66.7","19","6.3","0","0","84","3","3","1","0","1","6","1","0"
"total","total","94","79","1,353","2,267","59.7","14,452","6.4","65","71","74.9","305","1,328","4.4","9","267","1,564","71","22"
