"family characteristic","women","men"
"family characteristic","years","years"
"married spouse","51.0","53.4"
"without children at home","60.8","63.3"
"with at least one child at home","44.5","47.1"
"common-law partner","38.4","41.0"
"without children at home","41.2","43.3"
"with at least one child at home","37.4","40.0"
"opposite-sex spouse or partner","48.8","51.2"
"same-sex spouse or partner","45.6","45.0"
"parent in intact family","43.5","46.1"
"parent or stepparent in simple stepfamily","44.9","47.5"
"parent and/or stepparent in complex stepfamily","38.4","41.1"
"lone parent","46.4","49.4"
"never legally married","36.0","40.7"
"divorced or separated","47.3","50.3"
"widowed","72.0","70.0"
"living alone","61.9","50.4"
"living with relatives","61.1","41.0"
"living with non-relatives only","31.6","31.8"
