"year","team","g","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","passing","passing","passing","passing","passing","passing"
"year","team","g","att","yds","td","fum","avg","rec","yds","td","att","cmp","pct","yds","td","int"
"2001","sd","16","339","1,236","10","8","3.6","59","367","0","0","0","0","0","0","0"
"2002","sd","16","372","1,683","14","3","4.5","79","489","1","0","0","0","0","0","0"
"2003","sd","16","313","1,645","13","2","5.3","100","725","4","1","1","100","21","1","0"
"2004","sd","15","339","1,335","17","6","3.9","53","341","1","2","1","50","38","0","0"
"2005","sd","16","339","1,462","18","3","4.3","51","370","2","4","3","75","47","3","0"
"2006","sd","16","348","1,815","28","2","5.2","56","508","3","3","2","66.7","20","2","0"
"2007","sd","16","315","1,474","15","0","4.7","60","475","3","1","1","100","17","1","0"
"2008","sd","16","292","1,110","11","1","3.8","52","426","1","1","0","0","0","0","0"
"2009","sd","14","223","730","12","2","3.3","20","154","0","0","0","0","0","0","0"
"2010","nyj","15","219","914","6","4","4.2","52","368","0","0","0","0","0","0","0"
"2011","nyj","14","75","280","1","0","3.7","42","449","2","0","0","0","0","0","0"
"career","career","170","3,174","13,684","145","31","4.3","624","4,772","17","12","8","66.7","143","7","0"
