"sociodemographic characteristics","2007","2010","2013","2016"
"sociodemographic characteristics","percent","percent","percent","percent"
"age","","","",""
"65 to 69","40.8","58.9","63.3","81.3"
"70 to 74","35.1","49.7","58.2","73.7"
"75 to 79","28.3","39.8","46.4","63.8"
"80 and older","19.3","29.4","35.7","49.2"
"gender","","","",""
"male","34.4","48.4","52.4","69.3"
"female","30.3","44.1","52.3","67.4"
"employment","","","",""
"currently employed","39.4","54.6","60.3","71.9"
"not employed","31.1","44.9","51.3","67.9"
"household size","","","",""
"unattached","27.7","39.6","47.0","62.7"
"living with others","33.8","48.4","54.6","70.6"
"highest level of education","","","",""
"less than a high school diploma","16.4","21.9","27.9","46.2"
"high school diploma","30.7","46.2","52.3","69.1"
"postsecondary below bachelor's degree","41.4","54.6","60.7","76.7"
"bachelor's degree or higher","56.3","69.7","76.4","89.0"
"location","","","",""
"rural","30.1","43.5","50.6","68.2"
"non-rural","32.7","46.7","52.8","68.3"
"health status","","","",""
"excellent / very good","37.9","50.2","57.3","72.6"
"good","30.5","45.8","51.2","66.9"
"fair / poor","22.4","37.2","41.7","61.9"
