"club","season","league","league","league","national cup","national cup","league cup","league cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"paris saint-germain","2006-07","ligue 1","4","0","1","0","0","0","1","0","6","0"
"paris saint-germain","2007-08","ligue 1","14","1","4","0","1","2","-","-","19","3"
"paris saint-germain","total","total","18","1","5","0","1","2","1","0","25","3"
"liverpool","2008-09","premier league","14","2","0","0","2","0","3","1","19","3"
"liverpool","2009-10","premier league","24","5","2","0","2","1","9","2","37","8"
"liverpool","2010-11","premier league","25","2","1","0","1","1","11","5","38","8"
"liverpool","total","total","63","9","3","0","5","2","23","8","94","19"
"bolton wanderers","2011-12","premier league","33","3","4","1","2","0","-","-","39","4"
"bolton wanderers","2012-13","championship","31","8","2","0","0","0","-","-","33","8"
"bolton wanderers","2013-14","championship","17","3","1","1","1","0","-","-","19","4"
"bolton wanderers","total","total","81","14","7","2","3","0","-","-","91","16"
"swansea city","2013-14","premier league","3","0","0","0","0","0","0","0","3","0"
"reims","2014-15","ligue 1","28","7","2","0","0","0","-","-","30","7"
"reims","2015-16","ligue 1","16","3","1","0","1","0","-","-","18","3"
"reims","total","total","44","10","3","0","1","0","-","-","48","10"
"panionios","2016-17","superleague greece","13","1","3","2","-","-","16","3","none","none"
"ross county","2017-18","scottish premiership","10","1","0","0","0","0","-","-","10","1"
"budapest honved","2018-19","nemzeti bajnoksag i","18","3","6","6","0","0","-","-","24","9"
"career total","career total","career total","250","39","27","9","10","4","24","8","311","61"
