"jurisdiction","2016/2017","2016/2017","2016/2017","2016/2017","2006/2007","2006/2007","2006/2007","2006/2007"
"jurisdiction","male","male","female","female","male","male","female","female"
"jurisdiction","aboriginal","non-aboriginal","aboriginal","non-aboriginal","aboriginal","non-aboriginal","aboriginal","non-aboriginal"
"jurisdiction","percent","percent","percent","percent","percent","percent","percent","percent"
"newfoundland and labrador","6","94","0","100","3","97","4","96"
"prince edward island","13","88","0","100","..","..","..",".."
"nova scotia","..","..","..","..","10","90","7","93"
"new brunswick","11","89","15","85","7","93","7","93"
"ontario","10","90","15","85","8","92","11","89"
"manitoba","81","19","82","18","80","20","88","12"
"saskatchewan","92","8","98","2","70","30","86","14"
"alberta","..","..","..","..","35","65","46","54"
"british columbia","44","56","60","40","34","66","32","68"
"yukon","74","26","100","0","72","28","92","8"
"northwest territories","94","6","60","40","91","9","100","0"
"nunavut","100","0","100","0","100","0","100","0"
"total-all jurisdictions","47","53","60","40","25","75","29","71"
