"sex and disability","sexual assault","sexual assault","robbery","robbery","physical assault","physical assault","total violent victimization","total violent victimization"
"sex and disability","incidents","rate","incidents","rate","incidents","rate","incidents","rate"
"women","","","","","","","",""
"has a disability","234","56","33","8","301","72","568","137"
"sensory disability","f","f","f","f","56","84","109","162"
"physical disability","95","34","24","8","188","66","307","108"
"cognitive disability","65","121","f","f","51","95","129","241"
"mental health-related disability","146","131","25","22","120","107","290","261"
"no disability","301","29","45","4","336","32","682","65"
"men","","","","","","","",""
"has a disability","32","f","45","15","246","80","323","105"
"sensory disability","f","f","f","f","43","66","62","96"
"physical disability","f","f","f","f","152","78","199","102"
"cognitive disability","f","f","f","f","88","170","134","259"
"mental health-related disability","f","f","f","f","78","124","121","193"
"no disability","45","4","67","6","535","48","647","58"
"total","","","","","","","",""
"has a disability","266","37","78","11","547","76","891","123"
"sensory disability","f","f","22","17","99","75","171","130"
"physical disability","105","22","61","13","339","71","505","106"
"cognitive disability","86","81","f","f","139","132","263","250"
"mental health-related disability","166","95","48","27","198","114","411","236"
"no disability","346","16","112","5","871","40","1,329","61"
