"characteristic of victim","women","women","women","women","men","men","men","men"
"characteristic of victim","sensory disability","physical disability","cognitive disability","mental health-related disability","sensory disability","physical disability","cognitive disability","mental health-related disability"
"characteristic of victim","rate per 1,000 population","rate per 1,000 population","rate per 1,000 population","rate per 1,000 population","rate per 1,000 population","rate per 1,000 population","rate per 1,000 population","rate per 1,000 population"
"age group","","","","","","","",""
"15 to 24","f","227","378","445","f","f","f","f"
"25 to 34","f","339","f","406","f","f","f","200"
"35 to 44","f","175","f","162","f","189","f","f"
"45 to 54","f","114","f","193","199","f","f","142"
"55 to 64","f","84","f","f","f","53","f","f"
"65 and older","f","11","f","f","f","33","f","f"
"marital status","","","","","","","",""
"married or common-law","f","89","f","154","73","65","173","154"
"separated, widowed, or divorced","f","78","f","182","f","f","f","263"
"single, never married","f","199","398","407","181","184","270","213"
"main activity","","","","","","","",""
"employed","191","131","180","237","142","132","298","189"
"retired","f","16","f","f","f","40","f","f"
"student","f","253","f","431","f","f","f","f"
"other","f","185","323","274","f","96","f","124"
"immigrant status","","","","","","","",""
"immigrant","f","f","f","f","f","f","f","f"
"non-immigrant","189","116","272","287","112","105","236","214"
"visible minority","","","","","","","",""
"visible minority","f","f","f","f","f","f","f","f"
"non-visible minority","179","116","269","281","104","102","244","175"
"aboriginal identity","","","","","","","",""
"aboriginal","f","208","f","f","f","f","f","f"
"non-aboriginal","163","105","241","256","92","99","248","197"
"sexual orientation","","","","","","","",""
"heterosexual","140","99","198","195","93","95","228","169"
"homosexual or bisexual","f","331","680","514","f","f","f","f"
"ever experienced homelessness","","","","","","","",""
"yes","f","282","528","442","f","254","533","309"
"no","107","81","160","210","78","72","179","156"
"experienced sexual abuse by an adult before age 15","","","","","","","",""
"yes","f","159","399","323","f","f","f","f"
"no","112","97","195","242","81","77","195","167"
"experienced physical abuse by an adult before age 15","","","","","","","",""
"yes","f","180","320","280","141","174","409","231"
"no","f","80","195","241","f","47","116","138"
"total","162","108","241","261","96","102","259","193"
