"","total indigenous identity population","first nations people living off reserve","metis","inuit"
"","percent","percent","percent","percent"
"total","10.4","10.7","10.1","9.7"
"sex","","","",""
"male","9.4","9.5","9.6","8.2"
"female","11.2","11.7","10.6","11.0"
"age group","","","",""
"20 to 24","3.3","3.8","2.7","3.4"
"25 to 34","6.6","7.5","5.6","7.0"
"35 to 44","8.8","10.3","7.6","9.9"
"45 to 54","13.3","14.1","12.2","13.3"
"55 and over","14.9","14.2","15.6","15.2"
"region","","","",""
"atlantic provinces","13.8","15.4","12.2","12.7"
"quebec","9.1","10.5","8.9","5.8"
"ontario","7.8","7.6","8.0","8.7"
"prairie provinces","12.2","13.4","11.3","14.8"
"british columbia","9.5","9.2","9.8","f"
"territories","10.7","11.7","12.7","10.0"
"residential school family history","","","",""
"no","7.7","7.8","8.0","6.9"
"yes","12.5","12.5","12.8","10.8"
"not stated","11.0","10.5","11.7","9.0"
"disability status","","","",""
"no","9.0","9.4","8.7","8.7"
"yes","13.3","13.3","13.4","13.6"
"parenthood status","","","",""
"teenage parent","19.2","19.6","20.7","11.7"
"other parent / childless","8.5","8.5","8.6","8.8"
