"candidates and nominating parties","1st round","1st round","2nd round","2nd round"
"candidates and nominating parties","votes","%","votes","%"
"ivan gasparovic","876,061","46.71","1234787","55.53"
"iveta radicova","713,735","38.05","988,808","44.47"
"frantisek miklosko","101,573","5.42","-","-"
"zuzana martinakova","96,035","5.12","-","-"
"milan melnik","45,985","2.45","-","-"
"dagmara bollova","21,378","1.14","-","-"
"milan sidor","20,862","1.11","-","-"
"total","1,875,629","100.00","2,223,595","100.00"
"sources: statistics.sk[dead link], volbysr.sk","sources: statistics.sk[dead link], volbysr.sk","sources: statistics.sk[dead link], volbysr.sk","sources: statistics.sk[dead link], volbysr.sk","sources: statistics.sk[dead link], volbysr.sk"
