"age group","total, all primary sites","total, all primary sites","total, all primary sites","breast","breast","breast","lung","lung","lung","colon and rectum","colon and rectum","colon and rectum","combined share of all primary site cancer cases"
"age group","rate per 100,000","95% ci","95% ci","rate per 100,000","95% ci","95% ci","rate per 100,000","95% ci","95% ci","rate per 100,000","95% ci","95% ci","%"
"age group","rate per 100,000","from","to","rate per 100,000","from","to","rate per 100,000","from","to","rate per 100,000","from","to","%"
"20 to 24","32.2","29.0","35.6","1.7","1.0","2.6","0.0","0.0","0.3","1.3","0.7","2.1","9.3"
"25 to 29","64.4","59.9","69.1","7.9","6.4","9.7","0.8","0.4","1.5","2.5","1.7","3.6","17.5"
"30 to 34","107.4","101.5","113.4","22.4","19.8","25.3","1.3","0.7","2.1","5.9","4.6","7.5","27.6"
"35 to 39","174.2","166.6","182.0","55.7","51.5","60.2","2.6","1.8","3.8","8.8","7.1","10.7","38.5"
"40 to 44","270.8","261.6","280.3","104.1","98.4","110.0","6.7","5.3","8.3","16.3","14.1","18.8","46.9"
"45 to 49","410.5","399.7","421.5","163.1","156.4","170.1","23.9","21.4","26.7","26.9","24.2","29.9","52.1"
"50 to 54","569.9","557.2","582.7","204.5","197.0","212.3","52.9","49.1","56.9","50.3","46.6","54.2","54.0"
"55 to 59","751.4","736.0","767.0","233.7","225.2","242.5","98.4","92.9","104.2","66.4","61.9","71.2","53.0"
"60 to 64","1024.3","1004.9","1044.0","302.8","292.3","313.5","150.2","142.8","157.8","104.9","98.8","111.4","54.5"
