"","women","men","gap"
"","average score","average score","average score"
"literacy","","",""
"total aged 16-65","272.3","274.6","-2.3"
"16 to 24","276.4","275.1","1.3"
"25 to 34","284.8","285.4","-0.6"
"35 to 44","279.3","280.0","-0.7"
"45 to 54","266","269.9","-3.9"
"55 to 65","257.3","263.6","-6.3"
"numeracy","","",""
"total aged 16-65","258.2","272.7","-14.5"
"16 to 24","263.7","272.7","-9.0"
"25 to 34","269.9","283.1","-13.2"
"35 to 44","264.7","279.1","-14.4"
"44 to 54","253.0","268.3","-15.3"
"55 to 65","241.8","261.3","-19.5"
