"characteristic","urban core population distribution","urban core population distribution","urban core population distribution","urban core population distribution","pm2.5 exposure","pm2.5 exposure","pm2.5 exposure","pm2.5 exposure","pm2.5 exposure","pm2.5 exposure"
"characteristic","urban core population distribution","urban core population distribution","urban core population distribution","urban core population distribution","total","total","toronto","toronto","not toronto","not toronto"
"characteristic","total","total","toronto","not toronto","mean","s.d","mean","s.d","mean","s.d"
"total","100.0","100.0","21.0","79.0","8.03","4.90","9.33","3.56","7.68","4.91"
"visible minority or aboriginal status","","","","","","","","","",""
"white","75.3","100.0","14.9","85.1","7.89","5.05","9.43","3.55","7.63","5.03"
"aboriginal","2.3","100.0","4.2","95.8","7.00","4.74","9.59","3.43","6.89","4.63"
"visible minority","22.4","100.0","43.3","56.7","8.58","4.10","9.21","3.55","8.09","4.16"
"south asian","5.6","100.0","54.4","45.6","8.46","4.14","8.95","3.87","7.87","4.05"
"chinese","5.4","100.0","40.4","59.6","8.48","3.75","9.26","3.06","7.95","3.69"
"black","3.4","100.0","45.6","54.4","8.89","4.18","9.36","3.56","8.49","4.44"
"filipino","1.8","100.0","41.8","58.2","8.37","4.17","9.32","3.36","7.68","4.00"
"latin american","1.3","100.0","33.1","66.9","8.95","4.19","9.69","3.24","8.59","4.36"
"arab","1.2","100.0","20.1","79.9","8.87","4.05","9.29","3.57","8.77","4.13"
"other asian","2.7","100.0","36.5","63.5","8.47","4.30","9.41","3.40","7.92","4.28"
"multiple visible minority","0.6","100.0","45.4","54.6","8.46","4.24","9.13","3.66","7.91","4.27"
"other visible minority","0.3","100.0","66.3","33.7","8.83","4.22","9.17","3.81","8.18","4.57"
"immigration status","","","","","","","","","",""
"not immigrant","73.5","100.0","14.3","85.7","7.81","5.02","9.30","3.69","7.56","5.00"
"immigrant","26.5","100.0","39.5","60.5","8.63","4.26","9.36","3.41","8.15","4.41"
"household income","","","","","","","","","",""
"less than 30,000","17.6","100.0","18.4","81.6","8.37","4.79","9.74","2.77","8.06","4.87"
"30,000 to 50,000","17.9","100.0","18.5","81.5","8.21","4.89","9.55","3.15","7.90","4.94"
"50,000 to 90,000","30.9","100.0","19.5","80.5","7.96","4.95","9.29","3.62","7.63","4.94"
"more than 90,000","33.7","100.0","25.0","75.0","7.82","4.87","9.11","3.82","7.38","4.79"
"low-income status","","","","","","","","","",""
"low income","13.5","100.0","23.6","76.4","8.52","4.57","9.64","3.00","8.17","4.68"
"not low income","85.8","100.0","20.7","79.3","7.96","4.96","9.27","3.65","7.61","4.96"
