"","%","95% confidence interval","95% confidence interval","unadjusted odds ratio","95% confidence interval","95% confidence interval","p","adjusted odds ratio","95% confidence interval","95% confidence interval","p"
"","%","from","to","unadjusted odds ratio","from","to","p","adjusted odds ratio","from","to","p"
"total","36.2","35.2","37.1","..","..","..","..","..","..","..",".."
"age","","","","","","","","","","",""
"65 to 74 years","41.2","40.1","42.4","1.82","1.69","1.96","<0.001","1.79","1.65","1.94","<0.001"
"75 years and older","27.8","26.5","29.1","1.00","..","..","..","1.00","..","..",".."
"sex","","","","","","","","","","",""
"men","36.7","35.4","38.0","1.04","0.97","1.12","0.27","","","",""
"women","35.7","34.6","36.9","1.00","..","..","..","..","..","..",".."
"province or territory","","","","","","","","","","",""
"atlantic","34.3","32.5","36.2","1.17","1.05","1.30","0.01","1.20","1.08","1.35","0.00"
"quebec","42.5","40.6","44.5","1.65","1.48","1.84","<0.001","1.51","1.29","1.77","<0.001"
"ontario","31.0","29.4","32.6","1.00","..","..","..","1.00","..","..",".."
"manitoba","38.6","35.2","42.1","1.40","1.20","1.65","<0.001","1.87","1.60","2.18","<0.001"
"saskatchewan","45.3","42.1","48.5","1.85","1.59","2.14","<0.001","1.44","1.23","1.69","<0.001"
"alberta","37.4","34.6","40.2","1.33","1.15","1.54","<0.001","1.38","1.18","1.61","<0.001"
"british columbia","36.8","34.7","38.9","1.30","1.16","1.46","<0.001","1.30","1.16","1.46","<0.001"
"territories","31.8","25.5","38.0","1.04","0.77","1.41","0.80","0.63","0.41","0.96","0.03"
"level of education","","","","","","","","","","",""
"high school or less","36.8","35.5","38.2","1.15","1.03","1.29","0.01","1.26","1.11","1.43","<0.001"
"postsecondary below the bachelor's level","36.6","35.1","38.1","1.14","1.02","1.28","0.02","1.19","1.06","1.35","0.00"
"university degree","33.6","31.4","35.7","1.00","..","..","..","1.00","..","..",".."
"total household income","","","","","","","","","","",""
"$0 to $29,999","39.9","38.3","41.6","1.28","1.12","1.47","<0.001","1.37","1.17","1.60","<0.001"
"$30,000 to $59,999","34.9","33.6","36.2","1.03","0.90","1.18","0.64","1.08","0.93","1.25","0.30"
"$60,000 to $89,999","34.2","32.1","36.4","1.00","0.86","1.17","0.97","1.01","0.87","1.18","0.87"
"$90,000 or more","34.2","31.5","36.9","1.00","..","..","..","1.00","..","..",".."
"country of birth","","","","","","","","","","",""
"other","37.8","35.6","40.0","1.11","1.00","1.23","0.04","1.15","1.01","1.31","0.03"
"canada","35.4","34.5","36.3","1.00","..","..","..","1.00","..","..",".."
"aboriginal identity","","","","","","","","","","",""
"none","36.0","35.1","37.0","1.00","..","..","..","..","..","..",".."
"first nations","34.3","26.7","41.9","0.93","0.66","1.31","0.67","","","",""
"metis","37.4","28.7","46.2","1.06","0.73","1.54","0.75","","","",""
"inuk or inuit","f","..","..","0.84","0.26","2.70","0.77","","","",""
"mother tongue","","","","","","","","","","",""
"english","32.3","31.3","33.4","1.00","..","..","..","1.00","..","..",".."
"french","41.0","39.2","42.8","1.45","1.34","1.58","<0.001","1.16","1.01","1.34","0.04"
"other","39.9","37.5","42.3","1.39","1.25","1.55","<0.001","1.37","1.20","1.56","<0.001"
"area of residence","","","","","","","","","","",""
"urban","34.8","33.7","35.8","1.00","..","..","..","1.00","..","..",".."
"rural","41.5","40.0","43.0","1.33","1.24","1.43","<0.001","1.32","1.23","1.43","<0.001"
"has a family doctor","","","","","","","","","","",""
"no","69.8","66.2","73.4","4.40","3.70","5.24","<0.001","3.57","3.01","4.24","<0.001"
"yes","34.4","33.5","35.4","1.00","..","..","..","1.00","..","..",".."
"has a cmc","","","","","","","","","","",""
"no","41.9","40.6","43.1","1.85","1.72","2.00","<0.001","1.64","1.50","1.78","<0.001"
"yes","28.0","26.8","29.2","1.00","..","..","..","1.00","..","..",".."
"self-perceived health","","","","","","","","","","",""
"excellent","45.2","42.8","47.6","1.93","1.57","2.37","<0.001","1.51","1.21","1.87","<0.001"
"very good","36.8","35.4","38.2","1.36","1.12","1.65","0.00","1.13","0.92","1.38","0.24"
"good","34.7","33.0","36.3","1.24","1.02","1.51","0.03","1.04","0.85","1.27","0.71"
"fair","30.5","28.2","32.7","1.02","0.83","1.26","0.82","0.94","0.76","1.15","0.52"
"poor","30.0","26.1","33.9","1.00","..","..","..","1.00","..","..",".."
