"club","division","season","league","league","cup","cup","continental","continental","total","total"
"club","division","season","apps","goals","apps","goals","apps","goals","apps","goals"
"gippsland falcons","national soccer league","1996-97","6","2","-","-","6","2","none","none"
"gippsland falcons","national soccer league","1997-98","22","4","-","-","22","4","none","none"
"gippsland falcons","national soccer league","1998-99","15","4","-","-","15","4","none","none"
"gippsland falcons","total","total","43","10","-","-","43","10","none","none"
"carlton sc","national soccer league","1998-99","10","5","-","-","10","5","none","none"
"carlton sc","national soccer league","1999-2000","35","12","-","-","35","12","none","none"
"carlton sc","national soccer league","2000-01","8","6","-","-","8","6","none","none"
"carlton sc","total","total","53","23","-","-","53","23","none","none"
"marconi stallions","national soccer league","2000-01","13","6","-","-","13","6","none","none"
"marconi stallions","total","total","13","6","-","-","13","6","none","none"
"lierse","belgian pro league","2001-02","31","9","3","2","-","-","34","11"
"lierse","belgian pro league","2002-03","5","0","0","0","-","-","5","0"
"lierse","belgian pro league","2003-04","25","4","2","1","-","-","27","5"
"lierse","belgian pro league","2004-05","29","14","4","2","-","-","33","16"
"lierse","total","total","90","27","9","5","-","-","99","32"
"psv eindhoven","eredivisie","2005-06","2","0","-","-","2","0","none","none"
"psv eindhoven","total","total","2","0","-","-","2","0","none","none"
"melbourne victory","a-league","2005-06","15","8","4","2","-","-","19","10"
"melbourne victory","a-league","2006-07","22","15","5","2","-","-","27","17"
"melbourne victory","a-league","2007-08","20","6","2","0","3","1","25","7"
"melbourne victory","a-league","2008-09","19","9","0","0","-","-","19","9"
"melbourne victory","a-league","2009-10","26","11","-","-","1","0","27","11"
"melbourne victory","a-league","2010-11","9","4","-","-","6","0","15","4"
"melbourne victory","a-league","2011-12","27","7","-","-","0","0","27","7"
"melbourne victory","a-league","2012-13","22","9","-","-","0","0","22","9"
"melbourne victory","a-league","2013-14","24","9","-","-","5","0","29","9"
"melbourne victory","a-league","2014-15","26","11","2","1","-","-","28","12"
"melbourne victory","a-league","2015-16","14","1","2","0","8","1","24","2"
"melbourne victory","total","total","224","90","15","5","23","2","262","97"
"heidelberg united","npl victoria","2016","2","0","-","-","2","0","none","none"
"heidelberg united","total","total","2","0","-","-","2","0","none","none"
"murray united","npl victoria 2","2017","21","7","-","-","21","7","none","none"
"murray united","npl victoria 2","2018","5","0","-","-","5","0","none","none"
"murray united","total","total","26","7","-","-","26","7","none","none"
"career total","career total","career total","453","163","24","10","23","2","500","175"
