"name","yugoslav first league","yugoslav first league","yugoslav cup","yugoslav cup","european cup winners' cup","european cup winners' cup","total","total"
"name","apps","goals","apps","goals","apps","goals","apps","goals"
"goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers"
"socialist federal republic of yugoslavia zivan ljukovcan","34","0","4","0","6","0","44","0"
"defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders"
"socialist federal republic of yugoslavia marko elsner","31","2","4","0","5","0","40","2"
"socialist federal republic of yugoslavia slavko radovanovic","24","0","2","0","3","0","29","0"
"socialist federal republic of yugoslavia miodrag krivokapic","20","0","2","0","3","0","25","0"
"socialist federal republic of yugoslavia zlatko krdzevic","24","1","0","0","0","0","24","1"
"socialist federal republic of yugoslavia dragan miletovic","15","0","3","0","6","0","24","0"
"socialist federal republic of yugoslavia zoran dimitrijevic","17","2","3","0","3","0","23","2"
"socialist federal republic of yugoslavia milan ivanovic","16","0","1","0","4","0","21","0"
"socialist federal republic of yugoslavia miroslav sugar","10","0","1","0","5","1","16","1"
"socialist federal republic of yugoslavia zlatko krmpotic","4","1","1","0","1","0","6","1"
"socialist federal republic of yugoslavia milan jovin","6","0","0","0","0","0","6","0"
"midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders"
"socialist federal republic of yugoslavia bosko gjurovski","33","12","4","1","5","2","42","15"
"socialist federal republic of yugoslavia mitar mrkela","29","11","4","0","6","1","39","12"
"socialist federal republic of yugoslavia milan jankovic","29","6","4","1","5","1","38","8"
"socialist federal republic of yugoslavia goran milojevic","22","4","3","1","3","0","28","5"
"socialist federal republic of yugoslavia zarko đurovic","23","3","1","1","3","2","27","6"
"socialist federal republic of yugoslavia jovica nikolic","17","2","3","0","5","1","25","3"
"forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards"
"socialist federal republic of yugoslavia husref musemic","33","12","4","3","6","2","43","17"
"socialist federal republic of yugoslavia milko gjurovski","21","13","3","0","3","0","27","13"
"socialist federal republic of yugoslavia zoran pavlovic","12","2","1","0","0","0","13","2"
"players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season"
"socialist federal republic of yugoslavia miralem zjajo","4","0","0","0","1","0","5","0"
"socialist federal republic of yugoslavia vlada stosic","3","0","0","0","0","0","3","0"
