"characteristic","distribution","missed rates"
"characteristic","percent","percent"
"2011 rrc","..","8.3"
"immigrant frame","100","17.8"
"province of residence","",""
"atlantic","1.9","12.6"
"quebec","18.6","12.5"
"ontario","43.2","19.4"
"prairies","19.1","18.1"
"british columbia","17.2","20.0"
"age group on census day","",""
"0 to 9 years","11.2","14.6"
"10 to 19 years","14.2","14.1"
"20 to 29 years","18.7","21.0"
"30 to 39 years","27.0","19.4"
"40 to 49 years","16.0","16.2"
"50 years and over","12.9","18.9"
"sex","",""
"men","48.0","19.0"
"women","52.0","16.7"
"region of birth","",""
"europe","16.0","11.8"
"africa","13.7","17.2"
"asia or oceania","56.4","20.2"
"north america, central america or south america","13.9","15.8"
"de facto marital status on census day","",""
"single, widowed, separated or divorced","42.9","18.7"
"married or common law","57.1","16.9"
"mother tongue at landing","",""
"english or french","13.0","14.8"
"arabic","9.8","22.7"
"mandarin","9.4","18.0"
"tagalog","9.1","15.0"
"punjabi","7.2","31.1"
"spanish","6.4","12.2"
"other languages","45.4","16.9"
"knowledge of official languages at landing","",""
"yes","69.0","19.2"
"no","31.0","14.9"
"level of education at landing","",""
"high school or less","53.3","16.4"
"postsecondary studies","14.3","19.8"
"undergraduate degree","22.1","18.5"
"postgraduate studies","10.4","21.0"
"interprovincial migration","",""
"no","90.2","17.4"
"yes","9.8","22.2"
"year of landing","",""
"2006","12.0","11.4"
"2007","17.7","15.6"
"2008","19.2","14.6"
"2009","20.3","13.8"
"2010","23.5","23.4"
"2011","7.4","35.6"
"immigrant category","",""
"economic","57.3","19.7"
"family class","28.3","17.0"
"refugee","14.5","12.3"
"non-permanent status prior to landing","",""
"has never been an npr","85.2","18.6"
"has already been an npr","14.8","13.6"
