"characteristics","distribution","missed rates"
"characteristics","percent","percent"
"2011 rrc","..","8.3"
"npr frame","100","43.2"
"province of residence","",""
"atlantic","3.7","48.2"
"quebec","17.9","36.4"
"ontario","40.0","45.0"
"prairies","17.7","40.6"
"british columbia","20.6","47.0"
"age group","",""
"under 20 years","15.9","46.7"
"20 to 24 years","24.1","49.4"
"25 to 29 years","20.1","48.8"
"30 to 34 years","13.0","31.4"
"35 years and over","27.0","37.1"
"sex","",""
"male","49.3","44.6"
"female","50.7","41.9"
"region of birth","",""
"europe","21.8","46.4"
"africa","9.6","40.7"
"asia or oceania","48.7","43.9"
"united states","6.3","48.5"
"central or south america","13.7","34.8"
"de facto marital status on census day","",""
"single, widowed, separated or divorced","69.0","47.3"
"married or common-law","31.0","32.7"
"mother tongue on census day","",""
"english","21.7","47.0"
"french","9.2","37.0"
"non-official language","69.1","42.8"
"first npr permit","",""
"no","63.7","41.7"
"yes","36.3","46.0"
"holds more than one permit","",""
"no","71.0","45.0"
"yes","29.0","39.1"
"length of stay in canada","",""
"0 to 6 months","22.4","53.1"
"6 to 12 months","20.1","50.4"
"12 to 24 months","24.4","38.0"
"24 months or more","33.0","36.4"
"type of permit","",""
"refugee status claimant","20.5","31.5"
"work permit","52.4","46.2"
"study or minister's permit","27.2","46.5"
