"province","violent crimes","violent crimes","property crimes","property crimes","other criminal code offences","other criminal code offences","criminal code traffic violations","criminal code traffic violations","drug offences","drug offences"
"province","rate","% change 2009 to 2017","rate","% change 2009 to 2017","rate","% change 2009 to 2017","rate","% change 2009 to 2017","rate","% change 2009 to 2017"
"newfoundland and labrador","","","","","","","","","",""
"urban","1,386","-8","2,762","-41","1,038","24","394","-14","154","-42"
"rural","1,228","-16","3,141","-9","1,397","37","256","-39","229","4"
"prince edward island","","","","","","","","","",""
"urban","904","-38","2,776","-47","667","-13","354","-41","137","-18"
"rural","869","-12","2,145","-26","534","-14","374","-36","166","23"
"nova scotia","","","","","","","","","",""
"urban","1,281","-27","2,961","-36","969","-17","297","-17","241","-18"
"rural","1,194","-20","2,687","-21","816","-17","416","-19","345","15"
"new brunswick","","","","","","","","","",""
"urban","1,299","-12","3,240","-11","1,078","37","276","-30","196","-15"
"rural","1,203","-28","2,441","-11","728","14","381","-22","277","-11"
"quebec","","","","","","","","","",""
"urban","979","-10","1,912","-46","466","-16","460","-6","283","18"
"rural","1,314","19","1,544","-43","518","9","616","-12","311","-1"
"ontario","","","","","","","","","",""
"urban","824","-18","2,435","-25","551","7","193","-24","158","-30"
"rural","987","-11","2,092","-28","624","-7","247","-27","202","-37"
"manitoba","","","","","","","","","",""
"urban","1,521","-10","5,142","-26","1,301","20","158","-29","145","-18"
"rural","2,933","-11","5,405","-10","2,971","-11","718","-9","346","-1"
"saskatchewan","","","","","","","","","",""
"urban","1,445","-28","5,735","-17","2,958","0","582","-26","255","-13"
"rural","3,118","-6","7,179","-7","3,532","8","1,168","-8","339","22"
"alberta","","","","","","","","","",""
"urban","1,158","-11","5,147","0","1,615","12","321","-33","238","-5"
"rural","1,870","-24","6,858","13","2,236","-20","796","-30","392","-10"
"british columbia","","","","","","","","","",""
"urban","1,070","-34","5,011","-12","1,464","-15","294","-36","397","-21"
"rural","1,367","-35","3,293","-35","1,758","-28","484","-31","482","-43"
"all provinces","","","","","","","","","",""
"urban","990","-18","3,177","-22","884","0","296","-22","233","-14"
"rural","1,532","-11","3,355","-17","1,324","-8","543","-20","310","-17"
