"province","crime severity index","% change 2009 to 2017","violent crime severity index","% change 2009 to 2017","non-violent crime severity index","% change 2009 to 2017"
"province","index","percent","index","percent","index","percent"
"newfoundland and labrador","","","","","",""
"urban","65.0","-24","78.6","20","59.9","-36"
"rural","60.8","-2","59.8","4","61.0","-4"
"prince edward island","","","","","",""
"urban","48.3","-37","41.0","-21","50.8","-41"
"rural","38.7","-23","35.0","5","39.9","-29"
"nova scotia","","","","","",""
"urban","65.6","-30","82.8","-22","59.2","-33"
"rural","66.4","-2","69.4","16","65.2","-8"
"new brunswick","","","","","",""
"urban","71.5","-1","69.1","-2","72.2","-1"
"rural","64.7","-3","70.3","-7","62.5","-1"
"quebec","","","","","",""
"urban","56.6","-32","70.6","-17","51.5","-37"
"rural","59.5","-21","77.7","29","52.9","-35"
"ontario","","","","","",""
"urban","55.4","-21","69.5","-18","50.2","-22"
"rural","52.5","-16","62.2","12","48.9","-25"
"manitoba","","","","","",""
"urban","112.4","-18","155.9","-16","96.5","-19"
"rural","130.1","-5","167.9","5","116.1","-10"
"saskatchewan","","","","","",""
"urban","127.8","-13","120.4","-23","130.2","-9"
"rural","165.7","5","180.2","15","160.1","1"
"alberta","","","","","",""
"urban","103.4","2","92.0","-11","107.3","6"
"rural","139.8","17","114.7","-2","148.5","23"
"british columbia","","","","","",""
"urban","91.0","-19","75.3","-35","96.4","-14"
"rural","73.2","-30","76.5","-20","71.9","-33"
"all provinces","","","","","",""
"urban","70.1","-19","77.2","-19","67.4","-19"
"rural","82.1","-7","90.2","9","79.0","-12"
