"province","proportion of people who believe the local police are doing a good job of..","proportion of people who believe the local police are doing a good job of..","proportion of people who believe the local police are doing a good job of..","proportion of people who believe the local police are doing a good job of..","proportion of people who believe the local police are doing a good job of..","proportion of people who believe the local police are doing a good job of..","proportion of the population who have a great deal of confidence in the police"
"province","enforcing the laws","promptly responding to calls","being approachable and easy to talk to","providing information on ways to prevent crime","ensuring safety of citizens","treating people fairly","proportion of the population who have a great deal of confidence in the police"
"province","percent","percent","percent","percent","percent","percent","percent"
"newfoundland and labrador","","","","","","",""
"urban","57","49","72","62","64","64","51"
"rural","55","55","77","60","67","69","53"
"prince edward island","","","","","","",""
"urban","60","63","74","58","68","70","51"
"rural","70","71","79","67","74","77","65"
"nova scotia","","","","","","",""
"urban","57","57","71","55","66","61","47"
"rural","58","56","73","58","67","66","48"
"new brunswick","","","","","","",""
"urban","68","62","73","61","73","69","56"
"rural","58","56","70","58","67","67","49"
"quebec","","","","","","",""
"urban","68","65","64","58","73","67","40"
"rural","69","67","67","63","73","73","40"
"ontario","","","","","","",""
"urban","62","54","65","54","66","59","48"
"rural","60","52","70","57","66","63","49"
"manitoba","","","","","","",""
"urban","52","44","62","51","58","54","37"
"rural","55","52","72","54","66","67","42"
"saskatchewan","","","","","","",""
"urban","57","50","68","56","62","58","45"
"rural","48","44","67","45","57","62","45"
"alberta","","","","","","",""
"urban","61","56","67","58","65","62","48"
"rural","50","47","65","53","59","57","39"
"british columbia","","","","","","",""
"urban","58","54","66","53","63","59","42"
"rural","57","52","70","50","63","62","44"
"all provinces","","","","","","",""
"urban","62","57","65","55","67","61","45"
"rural","60","56","69","57","67","66","45"
