"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"millwall","1969-70","second division","23","0","1","0","0","0","24","0"
"millwall","1970-71","second division","38","3","1","0","3","0","42","3"
"millwall","1971-72","second division","40","4","3","0","1","0","44","4"
"millwall","1972-73","second division","40","1","3","0","3","0","46","2"
"millwall","1973-74","second division","30","1","2","0","5","1","37","2"
"millwall","1974-75","second division","32","1","2","0","0","0","34","1"
"millwall","total","total","203","10","12","0","12","1","227","11"
"torquay united","1977-78","fourth division","0","0","-","-","1","0","1","0"
"watford","1977-78","fourth division","1","0","-","-","1","0","none","none"
"brentford","1977-78","fourth division","31","2","2","0","-","-","33","2"
"brentford","1978-79","third division","30","0","0","0","2","0","32","0"
"brentford","1979-80","third division","27","0","1","0","2","1","30","1"
"brentford","total","total","88","2","3","0","4","1","95","3"
"career total","career total","career total","292","12","15","0","17","2","324","14"
