"club","season","league","league","league","federation cup","federation cup","durand cup/super cup","durand cup/super cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"pune","2009","i-league 2nd division","2","3","0","0","0","0","-","-","2","3"
"pune","2009-10","i-league","17","2","0","0","0","0","-","-","17","2"
"pune","2011-12","i-league","16","5","2","2","0","0","-","-","18","7"
"pune","2012-13","i-league","19","5","3","1","2","1","-","-","24","7"
"pune","pune total","pune total","54","15","5","3","2","1","0","0","61","19"
"pailan arrows","2010-11","i-league","15","13","1","1","0","0","-","-","16","14"
"dempo","2013-14","i-league","18","5","2","0","0","0","-","-","20","5"
"mohun bagan","2014-15","i-league","12","1","4","0","0","0","-","-","16","1"
"chennaiyin","2014","indian super league","13","4","-","-","-","-","-","-","13","4"
"chennaiyin","2015","indian super league","11","6","-","-","-","-","-","-","11","6"
"chennaiyin","2016","indian super league","9","3","-","-","-","-","-","-","9","3"
"chennaiyin","2017-18","indian super league","20","9","-","-","1","0","-","-","21","9"
"chennaiyin","chennaiyin total","chennaiyin total","40","18","0","0","1","0","0","0","41","18"
"mohun bagan","2015-16","i-league","14","4","5","8","-","-","9","7","28","19"
"mohun bagan","2016-17","i-league","17","5","5","1","-","-","9","5","31","11"
"mohun bagan","mohun bagan total","mohun bagan total","31","9","10","9","0","0","18","12","59","30"
"career total","career total","career total","173","65","22","13","3","1","18","12","216","91"
