"beliefs about personal safety","experienced sexual assault","experienced sexual assault","experienced sexual assault","experienced unwanted sexualized behaviours","experienced unwanted sexualized behaviours","experienced unwanted sexualized behaviours","did not experience sexual assault or unwanted sexualized behaviours","did not experience sexual assault or unwanted sexualized behaviours","did not experience sexual assault or unwanted sexualized behaviours"
"beliefs about personal safety","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"beliefs about personal safety","percent","from","to","percent","from","to","percent","from","to"
"school tries hard to ensure student safety","","","","","","","","",""
"agree or strongly agree","72.7","69.3","75.8","80.4","79.2","81.5","86.0","85.1","86.9"
"neither agree nor disagree","16.1","13.7","19.0","12.9","11.9","14.0","11.6","10.8","12.4"
"disagree or strongly disagree","10.3","8.3","12.6","5.9","5.2","6.7","2.2","1.9","2.6"
"feel safe on school campus","","","","","","","","",""
"agree or strongly agree","76.8","73.6","79.7","85.3","84.2","86.3","91.3","90.6","92.0"
"neither agree nor disagree","12.0","9.9","14.6","8.9","8.0","9.8","6.7","6.1","7.4"
"disagree or strongly disagree","9.8","7.9","12.1","5.0","4.3","5.7","1.7","1.5","2.1"
"feel safe walking alone on campus after dark","","","","","","","","",""
"agree or strongly agree","51.3","47.9","54.8","63.8","62.3","65.2","74.8","73.7","75.9"
"neither agree nor disagree","15.1","12.8","17.8","12.6","11.7","13.7","13.1","12.2","14.0"
"disagree or strongly disagree","32.2","29.0","35.5","22.6","21.3","23.9","11.8","11.0","12.7"
"feel safe using public transportation alone after dark","","","","","","","","",""
"agree or strongly agree","38.1","34.6","41.6","51.1","49.5","52.6","61.7","60.4","63.0"
"neither agree nor disagree","14.2","11.8","16.9","13.3","12.2","14.4","16.8","15.8","17.9"
"disagree or strongly disagree","46.1","42.6","49.7","34.4","33.0","36.0","21.0","20.0","22.1"
"feel safe at home alone after dark","","","","","","","","",""
"agree or strongly agree","79.7","76.6","82.5","86.8","85.6","87.8","90.6","89.8","91.3"
"neither agree nor disagree","8.9","7.0","11.2","6.4","5.7","7.2","6.3","5.7","6.9"
"disagree or strongly disagree","10.2","8.3","12.4","5.9","5.2","6.7","2.8","2.4","3.2"
"feel safe and not fearful of who they are or are perceived to be","","","","","","","","",""
"agree or strongly agree","59.9","56.4","63.2","73.6","72.2","74.9","83.3","82.3","84.2"
"neither agree nor disagree","16.6","14.2","19.3","11.7","10.8","12.7","10.2","9.4","11.0"
"disagree or strongly disagree","21.9","19.1","25.1","13.7","12.6","14.8","6.2","5.6","6.9"
