"institution","all federal obligations","hhs","dod","nsf","nasa","doe","other agenciesa"
"all nonprofit institutions","6609871","4078897","1248186","521463","356397","174901","230028"
"top 10 nonprofit institutions","2370608","1264556","839700","111922","103638","32513","18278"
"mitre corp","484866","0","484396","0","0","300","169"
"ma general hospital","322162","319362","2429","350","21","0","0"
"brigham and women's hospital","316601","313428","2124","221","571","0","257"
"mayo clinic","215629","209817","4845","487","0","0","481"
"battelle memorial institute","190090","36857","121702","0","0","27106","4425"
"association of universities for research","","","","","","",""
"in astronomy","187621","0","0","84575","103047","0","0"
"fred hutchinson cancer research ctr","182821","181426","0","1395","0","0","0"
"sri international","178903","45045","93077","23795","0","5107","11879"
"rand corp","167138","35188","130883","0","0","0","1067"
"boston children's hospital","124777","123433","245","1100","0","0","0"
"all other nonprofit institutions","4239264","2814341","408486","409540","252759","142388","211750"
