"court outcomes of completed court cases","summary cases","summary cases","summary cases","summary cases","indictable cases","indictable cases","indictable cases","indictable cases"
"court outcomes of completed court cases","pre-2005","pre-2005","post-2005","post-2005","pre-2005","pre-2005","post-2005","post-2005"
"court outcomes of completed court cases","number","percent","number","percent","number","percent","number","percent"
"total cases, by decision","939","100","489","100","961","100","649","100"
"acquitted","38","4","27","6","38","4","36","6"
"stay of proceeding","53","6","36","7","45","5","36","6"
"withdrawn, dismissed, discharged","155","17","39","8","86","9","62","10"
"other decision","14","1","9","2","6","1","1","0"
"guilty","679","72","378","77","786","82","514","79"
"total guilty cases, by sentence and custody length","679","100","378","100","786","100","514","100"
"conditional sentence","107","16","17","5","188","24","27","6"
"probation","293","44","35","10","189","24","18","4"
"other non-custodial sentences","13","2","3","1","5","1","5","1"
"custody","254","38","307","85","392","51","410","89"
"less than 14 days","16","2","14","4","19","2","5","1"
"14 to 44 days","12","2","77","21","7","1","10","2"
"45 to 89 days","33","5","45","12","19","2","74","16"
"90 days to less than 6 months","66","10","83","23","41","5","77","17"
"6 months to less than 1 year","74","11","52","14","135","17","94","20"
"1 year to less than 2 years","30","4","24","7","87","11","79","17"
"2 years or longer","17","3","11","3","78","10","70","15"
"unknown custody length","6","1","1","0","6","1","1","0"
