"club","season","league","league","league","national cup","national cup","international","international","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"panionios","2002-03","alpha ethniki","14","0","0","0","0","0","0","0","14","0"
"panionios","2003-04","alpha ethniki","21","3","0","0","1","0","0","0","22","3"
"panionios","2004-05","alpha ethniki","28","0","0","0","4","0","0","0","32","0"
"panionios","total","total","63","3","0","0","5","0","0","0","68","3"
"panathinaikos","2005-06","alpha ethniki","21","1","0","0","4","0","0","0","25","1"
"panathinaikos","2006-07","superleague greece","24","2","6","0","7","0","0","0","37","2"
"panathinaikos","2007-08","superleague greece","27","2","1","0","8","0","4","0","40","2"
"panathinaikos","2008-09","superleague greece","10","0","0","0","5","0","0","0","15","0"
"panathinaikos","2009-10","superleague greece","2","0","1","0","0","0","0","0","3","0"
"panathinaikos","total","total","84","5","8","0","24","0","4","0","120","5"
"werder bremen","2008-09","bundesliga","15","1","4","0","8","0","0","0","27","1"
"werder bremen","total","total","15","1","4","0","8","0","0","0","27","1"
"siena","2009-10","serie a","13","0","0","0","0","0","0","0","13","0"
"siena","total","total","13","0","0","0","0","0","0","0","13","0"
"racing santander","2010-11","la liga","10","0","0","0","0","0","0","0","10","0"
"racing santander","2011-12","la liga","12","0","4","1","0","0","0","0","16","1"
"racing santander","total","total","22","0","4","1","0","0","0","0","26","1"
"monaco","2011-12","ligue 2","3","0","0","0","0","0","0","0","3","0"
"monaco","total","total","3","0","0","0","0","0","0","0","3","0"
"apoel","2012-13","cypriot first division","30","0","0","0","0","0","0","0","30","0"
"apoel","total","total","30","0","0","0","0","0","0","0","30","0"
"paok","2013-14","superleague greece","19","1","1","0","10","0","0","0","30","1"
"paok","2014-15","superleague greece","20","0","2","1","7","0","5","0","34","1"
"paok","2015-16","superleague greece","27","2","3","0","11","0","5","0","46","2"
"paok","2016-17","superleague greece","0","0","0","0","1","0","0","0","1","0"
"paok","total","total","66","3","6","1","29","0","10","0","111","4"
"kayserispor","2013-14","super lig","15","0","0","0","0","0","0","0","15","0"
"kayserispor","total","total","15","0","0","0","0","0","0","0","15","0"
"heart of midlothian","2016-17","scottish premiership","16","1","2","0","0","0","0","0","18","1"
"heart of midlothian","total","total","16","1","2","0","0","0","0","0","18","1"
"al-fayha","2017-18","saudi professional league","25","2","2","0","0","0","1","0","28","2"
"al-fayha","2018-19","saudi professional league","27","1","1","0","0","0","0","0","28","1"
"al-fayha","total","total","52","3","3","0","0","0","1","0","56","3"
"career total","career total","career total","379","16","27","2","66","0","15","0","487","18"
